PRISM Time Series Data
Location:  Lat: 37.7083   Lon: -121.8750   Elev: 394ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1895-01 - 2023-02
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1895-01,6.18,36.7,44.9,53.0,37.0,0.77,5.64
1895-02,2.03,38.1,50.2,62.3,38.9,0.74,10.48
1895-03,1.75,39.1,50.9,62.8,38.8,1.01,11.03
1895-04,1.33,42.3,55.1,67.9,41.3,1.08,14.27
1895-05,0.67,46.2,60.4,74.7,44.6,1.38,19.30
1895-06,0.15,51.7,67.1,82.5,47.0,1.91,26.08
1895-07,0.00,52.6,68.6,84.6,48.4,2.13,28.66
1895-08,0.00,52.2,68.8,85.3,49.0,1.78,29.56
1895-09,0.45,49.0,64.6,80.2,44.3,2.18,25.32
1895-10,0.43,49.2,62.2,75.2,45.3,1.96,19.41
1895-11,1.67,40.5,52.3,64.0,39.0,1.14,11.84
1895-12,1.16,35.7,44.8,53.9,35.0,0.90,6.68
1896-01,6.75,41.3,49.8,58.3,41.5,0.74,7.07
1896-02,0.15,39.7,52.3,64.9,38.8,0.99,12.44
1896-03,1.98,44.2,54.8,65.4,42.0,1.33,11.64
1896-04,3.80,41.9,52.1,62.3,39.5,1.33,10.77
1896-05,0.63,46.5,58.9,71.4,43.6,1.49,16.65
1896-06,0.00,53.8,67.7,81.6,47.0,3.01,25.44
1896-07,0.03,57.9,73.6,89.4,51.3,3.36,33.36
1896-08,0.68,57.1,71.3,85.6,50.5,3.21,29.03
1896-09,0.38,54.2,66.5,78.8,48.4,3.21,22.35
1896-10,1.17,51.2,63.7,76.2,44.2,2.16,21.02
1896-11,4.44,41.1,51.2,61.2,39.9,1.10,9.61
1896-12,2.43,41.0,50.0,59.0,40.0,1.20,8.37
1897-01,2.47,37.1,44.9,52.6,36.3,0.95,5.57
1897-02,4.09,40.2,48.7,57.1,38.7,1.06,7.26
1897-03,3.95,38.1,48.2,58.3,35.8,1.22,8.93
1897-04,0.33,45.7,58.8,71.9,43.2,1.58,16.75
1897-05,0.11,50.7,63.5,76.3,46.6,2.01,19.75
1897-06,0.18,51.8,65.8,79.8,47.1,2.19,22.58
1897-07,0.00,55.2,71.1,87.0,48.3,3.21,31.61
1897-08,0.00,55.9,70.4,84.9,50.6,2.82,27.68
1897-09,0.00,55.6,68.8,81.9,48.6,3.45,25.41
1897-10,1.87,49.9,60.2,70.5,45.7,2.04,14.84
1897-11,0.72,42.0,51.5,61.0,39.5,1.37,9.59
1897-12,1.34,36.7,46.6,56.6,35.9,0.93,7.92
1898-01,1.24,33.4,43.1,52.7,32.3,0.96,6.30
1898-02,1.21,41.8,51.7,61.5,41.3,0.97,8.58
1898-03,0.49,39.4,50.9,62.4,36.8,1.34,11.57
1898-04,0.19,46.3,59.5,72.7,43.2,1.62,17.89
1898-05,1.24,47.7,58.8,70.0,44.6,1.62,14.74
1898-06,0.18,54.0,67.9,81.8,49.3,2.37,25.17
1898-07,0.00,55.8,71.1,86.4,49.8,3.10,30.28
1898-08,0.00,56.7,71.3,85.9,51.5,2.78,29.18
1898-09,1.07,54.5,68.4,82.3,48.2,3.00,26.11
1898-10,0.91,50.5,62.6,74.7,46.1,2.05,18.82
1898-11,0.51,41.6,53.1,64.5,39.6,1.25,12.08
1898-12,1.32,36.1,45.7,55.4,35.1,0.95,7.43
1899-01,2.96,43.6,51.0,58.4,42.1,1.05,6.83
1899-02,0.57,38.7,50.6,62.5,37.9,1.01,10.96
1899-03,6.84,42.6,52.6,62.5,41.3,1.17,9.83
1899-04,0.53,44.9,56.5,68.1,42.2,1.48,14.07
1899-05,0.57,46.1,57.6,69.2,42.7,1.59,14.37
1899-06,0.43,54.8,68.5,82.2,49.1,2.88,25.71
1899-07,0.00,54.7,70.1,85.4,48.5,3.18,30.10
1899-08,0.00,54.9,68.4,81.8,50.2,2.65,24.80
