OBJECTID *,Shape *,ORIG_FID,FID_,FID_lidar2,Shape_Leng,elev
1,Point Z,0,6,0,4507.954197,380.078111
2,Point Z,0,6,0,4507.954197,380.077783
3,Point Z,0,6,0,4507.954197,380.077127
4,Point Z,0,6,0,4507.954197,380.076799
5,Point Z,0,6,0,4507.954197,380.076142
6,Point Z,0,6,0,4507.954197,380.075814
7,Point Z,0,6,0,4507.954197,380.075158
8,Point Z,0,6,0,4507.954197,380.07483
9,Point Z,0,6,0,4507.954197,380.074174
10,Point Z,0,6,0,4507.954197,380.073518
11,Point Z,0,6,0,4507.954197,380.07319
12,Point Z,0,6,0,4507.954197,380.072533
13,Point Z,0,6,0,4507.954197,380.072205
14,Point Z,0,6,0,4507.954197,380.071549
15,Point Z,0,6,0,4507.954197,380.070893
16,Point Z,0,6,0,4507.954197,380.070565
17,Point Z,0,6,0,4507.954197,380.069909
18,Point Z,0,6,0,4507.954197,380.069253
19,Point Z,0,6,0,4507.954197,380.068925
20,Point Z,0,6,0,4507.954197,380.068268
21,Point Z,0,6,0,4507.954197,380.06794
22,Point Z,0,6,0,4507.954197,380.067284
23,Point Z,0,6,0,4507.954197,380.066956
24,Point Z,0,6,0,4507.954197,380.0663
25,Point Z,0,6,0,4507.954197,380.065972
26,Point Z,0,6,0,4507.954197,380.065316
27,Point Z,0,6,0,4507.954197,380.064988
28,Point Z,0,6,0,4507.954197,380.064331
29,Point Z,0,6,0,4507.954197,380.064003
30,Point Z,0,6,0,4507.954197,380.063347
31,Point Z,0,6,0,4507.954197,380.063019
32,Point Z,0,6,0,4507.954197,380.062691
33,Point Z,0,6,0,4507.954197,380.062035
34,Point Z,0,6,0,4507.954197,380.061707
35,Point Z,0,6,0,4507.954197,380.061379
36,Point Z,0,6,0,4507.954197,380.060722
37,Point Z,0,6,0,4507.954197,380.060394
38,Point Z,0,6,0,4507.954197,380.060066
39,Point Z,0,6,0,4507.954197,380.05941
40,Point Z,0,6,0,4507.954197,380.059082
41,Point Z,0,6,0,4507.954197,380.058754
42,Point Z,0,6,0,4507.954197,380.058426
43,Point Z,0,6,0,4507.954197,380.058098
44,Point Z,0,6,0,4507.954197,380.057442
45,Point Z,0,6,0,4507.954197,380.057114
46,Point Z,0,6,0,4507.954197,380.056785
47,Point Z,0,6,0,4507.954197,380.056457
48,Point Z,0,6,0,4507.954197,380.056129
49,Point Z,0,6,0,4507.954197,380.055801
50,Point Z,0,6,0,4507.954197,380.055473
51,Point Z,0,6,0,4507.954197,380.055145
52,Point Z,0,6,0,4507.954197,380.054817
53,Point Z,0,6,0,4507.954197,380.054161
54,Point Z,0,6,0,4507.954197,380.053833
55,Point Z,0,6,0,4507.954197,380.053505
56,Point Z,0,6,0,4507.954197,380.053177
57,Point Z,0,6,0,4507.954197,380.052848
58,Point Z,0,6,0,4507.954197,380.05252
59,Point Z,0,6,0,4507.954197,380.052192
60,Point Z,0,6,0,4507.954197,380.051864
61,Point Z,0,6,0,4507.954197,380.051864
62,Point Z,0,6,0,4507.954197,380.051536
63,Point Z,0,6,0,4507.954197,380.051208
64,Point Z,0,6,0,4507.954197,380.05088
65,Point Z,0,6,0,4507.954197,380.050552
66,Point Z,0,6,0,4507.954197,380.050224
67,Point Z,0,6,0,4507.954197,380.050224
68,Point Z,0,6,0,4507.954197,380.049896
69,Point Z,0,6,0,4507.954197,380.049568
70,Point Z,0,6,0,4507.954197,378.49839
71,Point Z,0,6,0,4507.954197,378.20902
72,Point Z,0,6,0,4507.954197,378.199834
73,Point Z,0,6,0,4507.954197,378.190647
74,Point Z,0,6,0,4507.954197,378.181461
75,Point Z,0,6,0,4507.954197,378.050228
76,Point Z,0,6,0,4507.954197,377.969519
77,Point Z,0,6,0,4507.954197,377.476738
78,Point Z,0,6,0,4507.954197,377.045309
79,Point Z,0,6,0,4507.954197,377.043668
80,Point Z,0,6,0,4507.954197,377.0417
81,Point Z,0,6,0,4507.954197,377.039731
82,Point Z,0,6,0,4507.954197,377.038091
83,Point Z,0,6,0,4507.954197,377.03645
84,Point Z,0,6,0,4507.954197,377.034482
85,Point Z,0,6,0,4507.954197,376.281859
86,Point Z,0,6,0,4507.954197,374.833371
87,Point Z,0,6,0,4507.954197,374.829106
88,Point Z,0,6,0,4507.954197,374.824841
89,Point Z,0,6,0,4507.954197,374.820904
90,Point Z,0,6,0,4507.954197,374.81631
91,Point Z,0,6,0,4507.954197,374.812045
92,Point Z,0,6,0,4507.954197,374.807452
93,Point Z,0,6,0,4507.954197,374.802531
94,Point Z,0,6,0,4507.954197,374.79761
95,Point Z,0,6,0,4507.954197,374.792688
96,Point Z,0,6,0,4507.954197,374.787439
97,Point Z,0,6,0,4507.954197,374.782518
98,Point Z,0,6,0,4507.954197,374.777597
99,Point Z,0,6,0,4507.954197,374.772675
100,Point Z,0,6,0,4507.954197,374.767754
101,Point Z,0,6,0,4507.954197,374.762833
102,Point Z,0,6,0,4507.954197,374.757912
103,Point Z,0,6,0,4507.954197,374.75299
104,Point Z,0,6,0,4507.954197,374.748069
105,Point Z,0,6,0,4507.954197,374.743476
106,Point Z,0,6,0,4507.954197,374.738227
107,Point Z,0,6,0,4507.954197,374.732977
108,Point Z,0,6,0,4507.954197,374.7274
109,Point Z,0,6,0,4507.954197,374.72215
110,Point Z,0,6,0,4507.954197,374.716901
111,Point Z,0,6,0,4507.954197,374.71198
112,Point Z,0,6,0,4507.954197,374.258897
113,Point Z,0,6,0,4507.954197,373.564344
114,Point Z,0,6,0,4507.954197,372.964936
115,Point Z,0,6,0,4507.954197,372.964936
116,Point Z,0,6,0,4507.954197,372.964936
117,Point Z,0,6,0,4507.954197,372.964608
118,Point Z,0,6,0,4507.954197,372.964608
119,Point Z,0,6,0,4507.954197,372.96428
120,Point Z,0,6,0,4507.954197,372.963952
121,Point Z,0,6,0,4507.954197,372.963624
122,Point Z,0,6,0,4507.954197,372.963296
123,Point Z,0,6,0,4507.954197,372.96264
124,Point Z,0,6,0,4507.954197,372.962311
125,Point Z,0,6,0,4507.954197,372.961983
126,Point Z,0,6,0,4507.954197,372.961655
127,Point Z,0,6,0,4507.954197,372.961327
128,Point Z,0,6,0,4507.954197,372.960671
129,Point Z,0,6,0,4507.954197,372.960343
130,Point Z,0,6,0,4507.954197,372.959359
