OBJECTID *,Shape *,ORIG_FID,FID_,FID_lidar2,Shape_Leng,elev
1,Point Z,0,6,0,4507.954197,361.929853
2,Point Z,0,6,0,4507.954197,361.917058
3,Point Z,0,6,0,4507.954197,361.904919
4,Point Z,0,6,0,4507.954197,361.892452
5,Point Z,0,6,0,4507.954197,361.880313
6,Point Z,0,6,0,4507.954197,361.868502
7,Point Z,0,6,0,4507.954197,361.857347
8,Point Z,0,6,0,4507.954197,361.846848
9,Point Z,0,6,0,4507.954197,361.83799
10,Point Z,0,6,0,4507.954197,361.82946
11,Point Z,0,6,0,4507.954197,361.823554
12,Point Z,0,6,0,4507.954197,361.818633
13,Point Z,0,6,0,4507.954197,361.817321
14,Point Z,0,6,0,4507.954197,361.817977
15,Point Z,0,6,0,4507.954197,361.823554
16,Point Z,0,6,0,4507.954197,361.832741
17,Point Z,0,6,0,4507.954197,361.847832
18,Point Z,0,6,0,4507.954197,361.867517
19,Point Z,0,6,0,4507.954197,361.89442
20,Point Z,0,6,0,4507.954197,361.927557
21,Point Z,0,6,0,4507.954197,361.968895
22,Point Z,0,6,0,4507.954197,362.017451
23,Point Z,0,6,0,4507.954197,362.074538
24,Point Z,0,6,0,4507.954197,362.138842
25,Point Z,0,6,0,4507.954197,362.210036
26,Point Z,0,6,0,4507.954197,362.288448
27,Point Z,0,6,0,4507.954197,362.371453
28,Point Z,0,6,0,4507.954197,362.459708
29,Point Z,0,6,0,4507.954197,362.548946
30,Point Z,0,6,0,4507.954197,365.692969
31,Point Z,0,6,0,4507.954197,366.293362
32,Point Z,0,6,0,4507.954197,366.293362
33,Point Z,0,6,0,4507.954197,366.293362
34,Point Z,0,6,0,4507.954197,366.293362
35,Point Z,0,6,0,4507.954197,366.293362
36,Point Z,0,6,0,4507.954197,366.290409
37,Point Z,0,6,0,4507.954197,366.110947
38,Point Z,0,6,0,4507.954197,365.675581
39,Point Z,0,6,0,4507.954197,364.800254
40,Point Z,0,6,0,4507.954197,364.647367
41,Point Z,0,6,0,4507.954197,364.647367
42,Point Z,0,6,0,4507.954197,364.951173
43,Point Z,0,6,0,4507.954197,364.960359
44,Point Z,0,6,0,4507.954197,364.48431
45,Point Z,0,6,0,4507.954197,364.318956
46,Point Z,0,6,0,4507.954197,364.318956
47,Point Z,0,6,0,4507.954197,364.318956
48,Point Z,0,6,0,4507.954197,364.318956
49,Point Z,0,6,0,4507.954197,364.318956
50,Point Z,0,6,0,4507.954197,364.318956
51,Point Z,0,6,0,4507.954197,364.455111
52,Point Z,0,6,0,4507.954197,364.542381
53,Point Z,0,6,0,4507.954197,364.449533
54,Point Z,0,6,0,4507.954197,364.539428
55,Point Z,0,6,0,4507.954197,364.012526
56,Point Z,0,6,0,4507.954197,363.543367
57,Point Z,0,6,0,4507.954197,363.287134
58,Point Z,0,6,0,4507.954197,363.201176
59,Point Z,0,6,0,4507.954197,363.227751
60,Point Z,0,6,0,4507.954197,363.560099
61,Point Z,0,6,0,4507.954197,363.85603
62,Point Z,0,6,0,4507.954197,363.909508
63,Point Z,0,6,0,4507.954197,364.03418
64,Point Z,0,6,0,4507.954197,364.106686
65,Point Z,0,6,0,4507.954197,364.387525
66,Point Z,0,6,0,4507.954197,364.063051
67,Point Z,0,6,0,4507.954197,363.74317
68,Point Z,0,6,0,4507.954197,363.73792
69,Point Z,0,6,0,4507.954197,363.936411
