OBJECTID *,Shape *,ORIG_FID,FID_,FID_lidar2,Shape_Leng,elev
1,Point Z,0,6,0,4507.954197,379.06827
2,Point Z,0,6,0,4507.954197,379.06827
3,Point Z,0,6,0,4507.954197,379.06827
4,Point Z,0,6,0,4507.954197,379.06827
5,Point Z,0,6,0,4507.954197,379.06827
6,Point Z,0,6,0,4507.954197,379.067942
7,Point Z,0,6,0,4507.954197,379.067942
8,Point Z,0,6,0,4507.954197,379.067942
9,Point Z,0,6,0,4507.954197,379.067942
10,Point Z,0,6,0,4507.954197,379.067942
11,Point Z,0,6,0,4507.954197,379.067942
12,Point Z,0,6,0,4507.954197,379.067614
13,Point Z,0,6,0,4507.954197,379.067614
14,Point Z,0,6,0,4507.954197,379.067614
15,Point Z,0,6,0,4507.954197,379.067286
16,Point Z,0,6,0,4507.954197,379.067286
17,Point Z,0,6,0,4507.954197,379.066958
18,Point Z,0,6,0,4507.954197,379.066958
19,Point Z,0,6,0,4507.954197,379.066958
20,Point Z,0,6,0,4507.954197,379.06663
21,Point Z,0,6,0,4507.954197,379.066302
22,Point Z,0,6,0,4507.954197,379.066302
23,Point Z,0,6,0,4507.954197,379.065974
24,Point Z,0,6,0,4507.954197,379.065974
25,Point Z,0,6,0,4507.954197,379.065646
26,Point Z,0,6,0,4507.954197,379.065318
27,Point Z,0,6,0,4507.954197,379.06499
28,Point Z,0,6,0,4507.954197,379.06499
29,Point Z,0,6,0,4507.954197,379.064661
30,Point Z,0,6,0,4507.954197,379.064333
31,Point Z,0,6,0,4507.954197,379.064005
32,Point Z,0,6,0,4507.954197,379.063677
33,Point Z,0,6,0,4507.954197,379.063349
34,Point Z,0,6,0,4507.954197,379.063021
35,Point Z,0,6,0,4507.954197,379.062693
36,Point Z,0,6,0,4507.954197,379.062037
37,Point Z,0,6,0,4507.954197,379.061709
38,Point Z,0,6,0,4507.954197,379.061381
39,Point Z,0,6,0,4507.954197,379.060396
40,Point Z,0,6,0,4507.954197,379.05974
41,Point Z,0,6,0,4507.954197,379.059084
42,Point Z,0,6,0,4507.954197,379.058428
43,Point Z,0,6,0,4507.954197,379.057772
44,Point Z,0,6,0,4507.954197,379.057116
45,Point Z,0,6,0,4507.954197,379.056459
46,Point Z,0,6,0,4507.954197,379.055475
47,Point Z,0,6,0,4507.954197,379.054819
48,Point Z,0,6,0,4507.954197,379.054163
49,Point Z,0,6,0,4507.954197,379.053507
50,Point Z,0,6,0,4507.954197,379.05285
51,Point Z,0,6,0,4507.954197,379.052194
52,Point Z,0,6,0,4507.954197,379.051538
53,Point Z,0,6,0,4507.954197,379.050882
54,Point Z,0,6,0,4507.954197,379.049898
