OBJECTID *,Shape *,ORIG_FID,FID_,FID_lidar2,Shape_Leng,elev
1,Point Z,0,6,0,4507.954197,359.338979
2,Point Z,0,6,0,4507.954197,359.339963
3,Point Z,0,6,0,4507.954197,359.341604
4,Point Z,0,6,0,4507.954197,359.344228
5,Point Z,0,6,0,4507.954197,359.347509
6,Point Z,0,6,0,4507.954197,359.351446
7,Point Z,0,6,0,4507.954197,359.356696
8,Point Z,0,6,0,4507.954197,359.362601
9,Point Z,0,6,0,4507.954197,359.369819
10,Point Z,0,6,0,4507.954197,359.377693
11,Point Z,0,6,0,4507.954197,359.386551
12,Point Z,0,6,0,4507.954197,359.396394
13,Point Z,0,6,0,4507.954197,359.406892
14,Point Z,0,6,0,4507.954197,359.418047
15,Point Z,0,6,0,4507.954197,359.429858
16,Point Z,0,6,0,4507.954197,359.442325
17,Point Z,0,6,0,4507.954197,359.455449
18,Point Z,0,6,0,4507.954197,359.468244
19,Point Z,0,6,0,4507.954197,359.482023
20,Point Z,0,6,0,4507.954197,359.549609
21,Point Z,0,6,0,4507.954197,360.105382
22,Point Z,0,6,0,4507.954197,360.114896
23,Point Z,0,6,0,4507.954197,360.114896
24,Point Z,0,6,0,4507.954197,360.114896
25,Point Z,0,6,0,4507.954197,360.114896
26,Point Z,0,6,0,4507.954197,360.114896
27,Point Z,0,6,0,4507.954197,360.114896
28,Point Z,0,6,0,4507.954197,360.114896
29,Point Z,0,6,0,4507.954197,360.115224
30,Point Z,0,6,0,4507.954197,360.115224
31,Point Z,0,6,0,4507.954197,360.115552
32,Point Z,0,6,0,4507.954197,360.115552
33,Point Z,0,6,0,4507.954197,360.11588
34,Point Z,0,6,0,4507.954197,360.116209
35,Point Z,0,6,0,4507.954197,360.116209
36,Point Z,0,6,0,4507.954197,360.116537
37,Point Z,0,6,0,4507.954197,360.116865
38,Point Z,0,6,0,4507.954197,360.117193
39,Point Z,0,6,0,4507.954197,360.117521
40,Point Z,0,6,0,4507.954197,360.117849
41,Point Z,0,6,0,4507.954197,360.73727
42,Point Z,0,6,0,4507.954197,360.781561
43,Point Z,0,6,0,4507.954197,360.73563
44,Point Z,0,6,0,4507.954197,360.618176
45,Point Z,0,6,0,4507.954197,360.570276
46,Point Z,0,6,0,4507.954197,360.670013
47,Point Z,0,6,0,4507.954197,361.415747
48,Point Z,0,6,0,4507.954197,361.982675
49,Point Z,0,6,0,4507.954197,362.304524
50,Point Z,0,6,0,4507.954197,362.420338
51,Point Z,0,6,0,4507.954197,362.478408
52,Point Z,0,6,0,4507.954197,362.478408
53,Point Z,0,6,0,4507.954197,362.478737
54,Point Z,0,6,0,4507.954197,362.478737
55,Point Z,0,6,0,4507.954197,362.482674
56,Point Z,0,6,0,4507.954197,362.49022
57,Point Z,0,6,0,4507.954197,362.423619
58,Point Z,0,6,0,4507.954197,362.45413
59,Point Z,0,6,0,4507.954197,362.713644
60,Point Z,0,6,0,4507.954197,362.78451
61,Point Z,0,6,0,4507.954197,362.834051
62,Point Z,0,6,0,4507.954197,362.95741
63,Point Z,0,6,0,4507.954197,363.280244
64,Point Z,0,6,0,4507.954197,363.345861
65,Point Z,0,6,0,4507.954197,363.244483
66,Point Z,0,6,0,4507.954197,363.188381
67,Point Z,0,6,0,4507.954197,363.28779
68,Point Z,0,6,0,4507.954197,363.582081
69,Point Z,0,6,0,4507.954197,363.321255
70,Point Z,0,6,0,4507.954197,363.694942
71,Point Z,0,6,0,4507.954197,363.60964
72,Point Z,0,6,0,4507.954197,363.697238
73,Point Z,0,6,0,4507.954197,363.684115
74,Point Z,0,6,0,4507.954197,363.437396
75,Point Z,0,6,0,4507.954197,363.297305
76,Point Z,0,6,0,4507.954197,363.307475
77,Point Z,0,6,0,4507.954197,363.307475
78,Point Z,0,6,0,4507.954197,363.31863
79,Point Z,0,6,0,4507.954197,363.362593
80,Point Z,0,6,0,4507.954197,363.462002
81,Point Z,0,6,0,4507.954197,363.462987
82,Point Z,0,6,0,4507.954197,363.219221
83,Point Z,0,6,0,4507.954197,363.009575
84,Point Z,0,6,0,4507.954197,362.973486
85,Point Z,0,6,0,4507.954197,362.957082
86,Point Z,0,6,0,4507.954197,362.875061
87,Point Z,0,6,0,4507.954197,362.705442
88,Point Z,0,6,0,4507.954197,362.634904
89,Point Z,0,6,0,4507.954197,362.474472
90,Point Z,0,6,0,4507.954197,362.501702
91,Point Z,0,6,0,4507.954197,362.554196
92,Point Z,0,6,0,4507.954197,362.474472
93,Point Z,0,6,0,4507.954197,362.228081
94,Point Z,0,6,0,4507.954197,361.977753
95,Point Z,0,6,0,4507.954197,361.732347
96,Point Z,0,6,0,4507.954197,361.727098
97,Point Z,0,6,0,4507.954197,361.723489
98,Point Z,0,6,0,4507.954197,361.723489
99,Point Z,0,6,0,4507.954197,361.723489
100,Point Z,0,6,0,4507.954197,361.723489
101,Point Z,0,6,0,4507.954197,361.723489
102,Point Z,0,6,0,4507.954197,361.716599
103,Point Z,0,6,0,4507.954197,361.714959
104,Point Z,0,6,0,4507.954197,361.707741
105,Point Z,0,6,0,4507.954197,361.552885
106,Point Z,0,6,0,4507.954197,361.318306
107,Point Z,0,6,0,4507.954197,361.268437
108,Point Z,0,6,0,4507.954197,361.253017
109,Point Z,0,6,0,4507.954197,361.248424
110,Point Z,0,6,0,4507.954197,361.248424
111,Point Z,0,6,0,4507.954197,361.248424
112,Point Z,0,6,0,4507.954197,361.248424
113,Point Z,0,6,0,4507.954197,361.248424
114,Point Z,0,6,0,4507.954197,361.472505
115,Point Z,0,6,0,4507.954197,361.58635
116,Point Z,0,6,0,4507.954197,361.590615
117,Point Z,0,6,0,4507.954197,361.607019
118,Point Z,0,6,0,4507.954197,361.835365
119,Point Z,0,6,0,4507.954197,361.94757
120,Point Z,0,6,0,4507.954197,362.069289
121,Point Z,0,6,0,4507.954197,362.323881
122,Point Z,0,6,0,4507.954197,362.527621
123,Point Z,0,6,0,4507.954197,362.597831
124,Point Z,0,6,0,4507.954197,362.597831
125,Point Z,0,6,0,4507.954197,362.597831
126,Point Z,0,6,0,4507.954197,362.621453
127,Point Z,0,6,0,4507.954197,362.978408
128,Point Z,0,6,0,4507.954197,363.570926
129,Point Z,0,6,0,4507.954197,362.835691
130,Point Z,0,6,0,4507.954197,362.596519
131,Point Z,0,6,0,4507.954197,362.568631
132,Point Z,0,6,0,4507.954197,362.482017
133,Point Z,0,6,0,4507.954197,362.475456
134,Point Z,0,6,0,4507.954197,362.47644
135,Point Z,0,6,0,4507.954197,362.500718
136,Point Z,0,6,0,4507.954197,362.564038
137,Point Z,0,6,0,4507.954197,362.612923
138,Point Z,0,6,0,4507.954197,362.72119
139,Point Z,0,6,0,4507.954197,362.999405
140,Point Z,0,6,0,4507.954197,363.258591
141,Point Z,0,6,0,4507.954197,363.211675
142,Point Z,0,6,0,4507.954197,363.181819
143,Point Z,0,6,0,4507.954197,363.171321
144,Point Z,0,6,0,4507.954197,363.126045
145,Point Z,0,6,0,4507.954197,363.095205
146,Point Z,0,6,0,4507.954197,363.08077
147,Point Z,0,6,0,4507.954197,363.08077
148,Point Z,0,6,0,4507.954197,363.08077
149,Point Z,0,6,0,4507.954197,363.121452
150,Point Z,0,6,0,4507.954197,363.357016
151,Point Z,0,6,0,4507.954197,363.357016
152,Point Z,0,6,0,4507.954197,363.357016
153,Point Z,0,6,0,4507.954197,363.357016
154,Point Z,0,6,0,4507.954197,363.339627
155,Point Z,0,6,0,4507.954197,363.21758
156,Point Z,0,6,0,4507.954197,363.081754
157,Point Z,0,6,0,4507.954197,363.012528
158,Point Z,0,6,0,4507.954197,362.953473
159,Point Z,0,6,0,4507.954197,362.675587
160,Point Z,0,6,0,4507.954197,362.391138
161,Point Z,0,6,0,4507.954197,362.349144
162,Point Z,0,6,0,4507.954197,362.360955
163,Point Z,0,6,0,4507.954197,362.462332
164,Point Z,0,6,0,4507.954197,362.597503
165,Point Z,0,6,0,4507.954197,362.691663
166,Point Z,0,6,0,4507.954197,362.670665
167,Point Z,0,6,0,4507.954197,362.842253
168,Point Z,0,6,0,4507.954197,362.985297
169,Point Z,0,6,0,4507.954197,362.689694
