Reach,River Sta,Profile,Q Total (cfs),Q Channel (cfs),Q Left (cfs),Q Right (cfs),Min Ch El (ft),W.S. Elev (ft),E.G. Slope (ft/ft),Area (sq ft),Area Channel (sq ft),Area Left (sq ft),Area Right (sq ft),Hydr Radius (ft),Hydr Radius C (ft),Hydr Radius L (ft),Hydr Radius R (ft)
,,,,,,,,,,,,,,,,,
Gleason to I-580,11300,Q2,650,650,,,360.18,363.5,0.003009,69.62,69.62,,,2.48,2.48,0.18,0.13
Gleason to I-580,11300,Q5,1200,1200,,,360.18,364.96,0.002744,110.5,110.5,,,3.34,3.34,0.8,0.08
Gleason to I-580,11300,Q100 FEMA,4300,4286.16,13.84,,360.18,369.9,0.002212,297.4,293.45,3.95,,5.56,6.12,0.72,2.04
Gleason to I-580,11300,Q100 AC,5200,5143.52,56.48,,360.18,370.97,0.002054,351.53,339.88,11.65,,5.93,6.82,1.24,2.59
Gleason to I-580,11300,13 Feb 2019,559.83,559.83,,,360.18,363.22,0.003069,62.38,62.38,,,2.3,2.3,0.04,0.03
Gleason to I-580,11300,5 Jan 1982,2280,2280,,,360.18,367.06,0.002535,180.12,180.12,,,4.45,4.45,1.72,1.01
Gleason to I-580,11300,11 Nov 2022,105.2,105.2,,,360.18,361.29,0.003996,18.85,18.85,,,0.93,0.93,1.72,1.01
Gleason to I-580,11300,31 Dec 2022,3420.21,3419.92,0.3,,360.18,368.75,0.002406,245.87,245.66,0.21,,5.2,5.34,0.17,1.66
Gleason to I-580,11300,14 Jan 2023,3656.88,3655.18,1.7,,360.18,369.07,0.002341,259.83,259.03,0.8,,5.3,5.56,0.32,1.76
,,,,,,,,,,,,,,,,,
Gleason to I-580,10800,Q2,650,650,,,351.58,357.02,0.003788,106.81,106.81,,,2.82,2.82,0.18,0.13
Gleason to I-580,10800,Q5,1200,1199.97,,0.03,351.58,358.85,0.002995,178.91,178.75,,0.16,3.73,3.9,0.8,0.08
Gleason to I-580,10800,Q100 FEMA,4300,4111.49,0.43,188.08,351.58,361.72,0.006968,404.41,313.93,1.06,89.42,3.83,5.64,0.17,2.04
Gleason to I-580,10800,Q100 AC,5200,4884.64,14.51,300.86,351.58,362.52,0.00661,494.65,355.15,14,125.51,4,6.31,0.74,2.59
Gleason to I-580,10800,13 Feb 2019,559.83,559.83,,,351.58,356.56,0.004314,91.42,91.42,,,2.58,2.58,0.04,0.03
Gleason to I-580,10800,5 Jan 1982,2280,2243.81,,36.19,351.58,360.35,0.004197,281.59,246.07,,35.52,3.25,4.79,1.72,1.01
Gleason to I-580,10800,11 Nov 2022,105.2,105.2,,,351.58,353.32,0.012229,17.94,17.94,,,1.11,1.11,1.72,1.01
Gleason to I-580,10800,31 Dec 2022,3420.21,3308.18,,112.03,351.58,361.18,0.005846,353.49,286.55,,66.93,3.75,5.32,2.8,1.66
Gleason to I-580,10800,14 Jan 2023,3656.88,3526.87,,130.01,351.58,361.32,0.006208,365.88,293.41,,72.47,3.83,5.41,3.01,1.76
,,,,,,,,,,,,,,,,,
Gleason to I-580,10200,Q2,650,650,,,347.85,354.73,0.002679,84.15,84.15,,,3.28,3.28,0.18,0.13
Gleason to I-580,10200,Q5,1200,1106.97,68.48,24.55,347.85,356.96,0.002336,197.52,133.76,44.73,19.03,1.7,4.04,0.8,0.7
Gleason to I-580,10200,Q100 FEMA,4300,2498.45,1207.62,593.94,347.85,360.5,0.002148,740.11,226.57,339.85,173.68,4.06,6.61,3.54,3.34
Gleason to I-580,10200,Q100 AC,5200,2820.12,1593.42,786.46,347.85,361.22,0.002092,865.86,245.61,409.06,211.19,4.62,7.17,4.14,3.87
Gleason to I-580,10200,13 Feb 2019,559.83,559.83,,,347.85,354.27,0.002643,75.62,75.62,,,3.11,3.11,0.04,0.03
Gleason to I-580,10200,5 Jan 1982,2280,1740.48,368.13,171.38,347.85,358.38,0.002673,392.05,170.82,147.92,73.31,2.36,4.98,1.72,1.6
Gleason to I-580,10200,11 Nov 2022,105.2,105.2,,,347.85,350.61,0.002504,22.42,22.42,,,1.64,1.64,1.72,1.01
Gleason to I-580,10200,31 Dec 2022,3420.21,2188.63,826.44,405.14,347.85,359.64,0.002337,596.16,204.07,260.42,131.67,3.38,5.95,2.8,2.68
Gleason to I-580,10200,14 Jan 2023,3656.88,2274.5,927.21,455.16,347.85,359.88,0.002285,635.22,210.25,281.98,142.99,3.57,6.13,3.01,2.86
