ID,Station (ft),Terrain Profile (ft)
1,0,358.849
2,2.968,358.806
3,3.145,358.796
4,3.328,358.793
5,3.877,358.78
6,4.076,358.781
7,4.609,358.781
8,4.917,358.768
9,6.019,358.751
10,7.14,358.729
11,7.201,358.726
12,7.201,358.726
13,7.201,358.726
14,7.201,358.726
15,7.201,358.726
16,7.201,358.726
17,7.201,358.726
18,7.201,358.726
19,7.201,358.726
20,7.201,358.726
21,7.201,358.726
22,7.201,358.726
23,7.201,358.726
24,7.201,358.726
25,7.364,358.73
26,8.488,358.739
27,9.463,358.769
28,9.966,358.77
29,10.93,358.777
30,12.527,358.864
31,13.084,358.853
32,13.084,358.853
33,13.084,358.853
34,13.084,358.853
35,13.084,358.853
36,13.084,358.853
37,13.084,358.853
38,13.084,358.853
39,13.084,358.853
40,13.084,358.853
41,13.084,358.853
42,13.084,358.853
43,13.084,358.853
44,13.084,358.853
45,13.084,358.853
46,13.084,358.853
47,13.084,358.853
48,13.084,358.853
49,13.084,358.853
50,13.084,358.853
51,13.084,358.853
52,13.084,358.853
53,13.084,358.853
54,13.084,358.853
55,13.084,358.853
56,13.084,358.853
57,13.084,358.853
58,13.084,358.853
59,13.084,358.853
60,13.084,358.853
61,13.084,358.853
62,13.084,358.853
63,13.084,358.853
64,13.084,358.853
65,13.084,358.853
66,13.084,358.853
67,13.084,358.853
68,13.084,358.853
69,13.084,358.853
70,13.084,358.853
71,13.084,358.853
72,13.084,358.853
73,13.084,358.853
74,13.084,358.853
75,13.084,358.853
76,13.084,358.853
77,13.084,358.853
78,13.084,358.853
79,13.084,358.853
80,13.084,358.853
81,13.084,358.853
82,13.084,358.853
83,13.084,358.853
84,13.084,358.853
85,13.084,358.853
86,13.084,358.853
87,13.084,358.853
88,13.084,358.853
89,13.084,358.853
90,13.084,358.853
91,13.084,358.853
92,13.084,358.853
93,13.084,358.853
94,13.084,358.853
95,13.527,358.852
96,14.365,358.85
97,14.792,358.819
98,14.792,358.819
99,14.792,358.819
100,14.792,358.819
101,14.792,358.819
102,14.792,358.819
103,14.792,358.819
104,14.792,358.819
105,14.792,358.819
106,14.792,358.819
107,14.792,358.819
108,14.792,358.819
109,14.792,358.819
110,14.792,358.819
111,14.792,358.819
112,14.792,358.819
113,14.792,358.819
114,14.792,358.819
115,14.792,358.819
116,14.792,358.819
117,14.792,358.819
118,14.792,358.819
119,14.792,358.819
120,14.792,358.819
121,14.792,358.819
122,14.792,358.819
123,14.792,358.819
124,14.792,358.819
125,14.792,358.819
126,14.792,358.819
127,14.792,358.819
128,14.792,358.819
129,14.792,358.819
130,14.792,358.819
131,14.792,358.819
132,14.792,358.819
133,14.792,358.819
134,14.792,358.819
135,14.792,358.819
136,14.792,358.819
137,14.792,358.819
138,14.792,358.819
139,14.792,358.819
140,14.792,358.819
141,14.792,358.819
142,14.792,358.819
143,14.792,358.819
144,14.792,358.819
145,14.792,358.819
146,14.792,358.819
147,14.792,358.819
148,14.792,358.819
149,14.792,358.819
150,14.792,358.819
151,14.792,358.819
152,14.792,358.819
153,14.792,358.819
154,14.792,358.819
155,14.792,358.819
156,14.792,358.819
157,14.792,358.819
158,14.792,358.819
159,14.792,358.819
160,14.792,358.819
161,14.792,358.819
162,14.792,358.819
163,14.792,358.819
164,14.792,358.819
165,14.792,358.819
166,14.792,358.819
167,14.792,358.819
168,14.792,358.819
169,14.792,358.819
170,14.792,358.819
171,14.792,358.819
172,14.792,358.819
173,14.792,358.819
174,14.792,358.819
175,15.617,358.792
176,15.676,358.791
177,24.166,358.769
178,24.166,358.769
179,24.166,358.769
180,24.166,358.769
181,24.166,358.769
182,24.166,358.769
183,24.166,358.769
184,24.166,358.769
185,24.166,358.769
186,24.166,358.769
187,24.166,358.769
188,24.166,358.769
189,24.166,358.769
190,24.166,358.769
191,24.166,358.769
192,24.166,358.769
193,24.166,358.769
194,24.166,358.769
195,24.166,358.769
196,24.166,358.769
197,24.166,358.769
198,24.166,358.769
199,24.166,358.769
200,24.166,358.769
201,24.166,358.769
202,24.166,358.769
203,24.166,358.769
204,24.166,358.769
205,24.166,358.769
206,24.166,358.769
207,24.166,358.769
208,24.166,358.769
209,24.166,358.769
210,24.166,358.769
211,24.166,358.769
212,24.166,358.769
213,24.166,358.769
214,24.166,358.769
215,24.166,358.769
216,24.166,358.769
217,24.166,358.769
218,24.166,358.769
219,24.166,358.769
220,24.166,358.769
221,24.166,358.769
222,24.166,358.769
223,24.166,358.769
224,24.166,358.769
225,24.166,358.769
226,24.166,358.769
227,24.166,358.769
228,24.166,358.769
229,24.166,358.769
230,24.166,358.769
231,24.166,358.769
232,24.166,358.769
233,24.166,358.769
234,24.166,358.769
235,24.166,358.769
236,24.166,358.769
237,24.166,358.769
238,24.166,358.769
239,24.166,358.769
240,24.166,358.769
241,24.166,358.769
242,24.166,358.769
243,24.166,358.769
244,24.166,358.769
245,24.166,358.769
246,24.166,358.769
247,24.166,358.769
248,24.166,358.769
249,24.166,358.769
250,24.166,358.769
251,24.166,358.769
252,24.166,358.769
253,24.166,358.769
254,24.166,358.769
255,24.166,358.769
256,24.166,358.769
257,24.166,358.769
258,24.898,358.716
259,24.898,358.716
260,24.898,358.716
261,24.898,358.716
262,24.898,358.716
263,24.898,358.716
264,24.898,358.716
265,24.898,358.716
266,24.898,358.716
267,24.898,358.716
268,24.898,358.716
269,24.898,358.716
270,24.898,358.716
271,24.898,358.716
272,24.898,358.716
273,24.898,358.716
274,24.898,358.716
275,24.898,358.716
276,24.898,358.716
277,24.898,358.716
278,24.898,358.716
279,24.898,358.716
280,24.898,358.716
281,24.898,358.716
282,24.898,358.716
283,24.898,358.716
284,24.898,358.716
