ID,Station (ft),Velocity 'Max' (feet/sec)
1,0,0
2,1.484,0
3,2.968,0
4,3.145,0
5,3.328,0
6,3.877,0
7,4.076,0
8,4.609,0
9,4.917,0
10,6.019,0
11,7.14,0
12,7.201,0
13,7.364,0
14,8.488,0
15,9.463,0
16,9.966,0
17,10.93,0
18,11.729,0
19,12.527,0
20,13.084,0
21,13.527,0
22,13.537,0
23,13.737,12.185
24,14.365,12.189
25,14.792,12.193
26,15.617,12.209
27,15.676,12.21
28,17.091,12.257
29,18.506,12.329
30,19.921,12.428
31,21.336,12.528
32,22.751,12.698
33,24.166,12.923
34,24.898,13.065
35,25.282,13.147
36,25.298,13.15
37,25.313,13.153
38,26.055,13.337
39,27.225,13.684
40,27.945,13.926
41,27.998,13.945
42,28.361,14.093
43,28.807,14.286
44,29.712,14.74
45,30.616,15.299
46,30.84,15.453
47,30.999,15.566
48,31.416,15.87
49,32.086,16.386
50,33.079,17.166
51,34.167,17.923
52,35.255,18.496
53,36.208,18.772
54,36.245,18.793
55,36.397,18.879
56,36.556,18.968
57,36.823,19.113
58,37.143,19.013
59,37.567,18.98
60,37.583,18.979
61,37.631,18.977
62,38.087,18.963
63,39.019,19.009
64,39.896,19.086
65,40.703,19.188
66,41.477,19.335
67,42.283,19.497
68,43.161,19.696
69,44.09,19.856
70,45.021,19.843
71,45.907,19.578
72,46.382,19.288
73,46.723,18.929
74,47.472,18.455
75,48.18,18.311
76,48.877,18.176
77,49.59,18.045
78,50.335,17.917
79,51.113,17.791
80,51.92,17.783
81,52.761,17.887
82,53.632,17.994
83,54.522,18.105
84,55.417,18.218
85,55.617,18.243
86,56.312,18.537
87,57.196,18.893
88,58.062,19.232
89,58.909,19.568
90,59.747,19.912
91,60.583,19.861
92,61.002,19.817
93,61.421,19.838
94,61.844,19.743
95,62.267,19.712
96,63.126,19.655
97,63.565,19.626
98,64.004,19.6
99,64.124,19.59
100,64.455,19.537
101,64.907,19.465
102,65.835,19.317
103,66.796,19.174
104,67.823,19.043
105,68.957,18.957
106,70.182,18.923
107,71.392,18.894
108,71.852,18.871
109,72.482,18.852
110,73.44,18.499
111,74.324,18.128
112,75.195,17.877
113,76.085,17.669
114,76.133,17.658
115,77,17.718
116,77.465,17.748
117,77.93,17.767
118,78.398,17.8
119,78.865,17.83
120,79.798,17.898
121,80.721,17.977
122,81.629,18.074
123,82.112,18.133
124,82.53,18.094
125,83.437,18.012
126,84.358,17.934
127,85.296,17.859
128,86.245,17.787
129,86.72,17.752
130,87.196,17.622
131,87.672,17.544
132,88.147,17.437
133,89.097,17.232
134,90.043,17.043
135,90.981,16.864
136,91.523,16.756
137,91.907,16.74
138,92.817,16.7
139,93.697,16.677
140,94.532,16.667
141,95.325,16.67
142,96.122,16.714
143,97.035,16.778
144,98.2,16.859
145,99.605,16.955
146,99.858,16.971
147,101.021,16.446
148,101.579,16.442
149,101.615,16.455
150,102.213,16.658
151,103.154,16.915
152,103.959,17.252
153,104.728,17.179
154,105.505,17.437
155,106.3,17.471
156,107.105,17.281
157,107.919,17.11
158,108.753,17.039
159,108.911,17.03
160,109.539,16.521
161,109.609,16.461
162,110.467,15.815
163,111.305,15.33
164,112.119,15.011
165,112.919,14.85
166,113.712,14.818
167,114.497,14.778
168,115.267,14.553
169,116.018,14.359
170,116.755,14.203
171,117.492,14.078
172,118.266,13.941
173,118.68,13.852
174,119.137,13.836
175,120.152,13.811
176,121.275,13.823
177,122.373,13.878
178,123.323,13.953
179,124.125,14.002
180,124.856,14.052
181,125.587,14.103
182,126.358,14.142
183,126.787,14.157
184,127.182,14.202
185,128.066,14.156
186,128.226,14.013
187,128.995,13.554
188,129.186,13.446
189,129.947,13.049
190,130.9,12.636
191,131.837,12.611
192,132.748,12.651
193,133.632,12.783
194,133.969,12.86
195,134.507,13.158
196,135.388,13.489
197,136.285,13.598
198,137.197,13.722
199,138.114,13.569
200,138.177,13.546
201,139.032,13.397
202,139.948,13.258
203,140.861,13.087
204,141.773,12.943
205,142.687,12.802
206,143.605,12.688
207,144.524,12.596
208,144.97,12.558
209,145.445,12.548
210,146.366,12.544
211,147.286,12.557
212,148.207,12.589
213,149.128,12.672
214,150.048,12.762
215,150.508,12.81
216,150.969,12.859
217,151.455,12.912
218,151.889,12.995
219,152.81,13.127
220,153.729,13.219
221,154.646,13.272
222,155.558,13.326
223,156.469,13.261
224,156.845,13.205
225,156.879,13.2
226,157.38,13.108
227,157.963,12.985
228,158.291,12.976
229,158.743,13.004
230,159.195,13.013
231,160.084,13.051
232,160.947,13.09
233,161.787,13.116
234,162.618,13.151
235,163.411,13.184
236,163.452,13.182
237,164.292,13.149
238,165.14,13.114
239,166.001,13.084
240,166.881,13.069
241,167.777,13.082
242,168.682,13.115
243,169.59,13.175
244,170.498,13.253
245,171.399,13.34
246,172.023,13.405
247,172.284,13.489
248,173.149,13.781
249,174.009,14.097
250,174.88,14.449
251,175.769,14.839
252,176.669,15.318
253,177.571,15.896
254,178.471,16.505
255,179.36,17.126
256,179.68,17.35
257,180.226,17.281
258,181.057,16.628
259,181.846,15.895
260,182.594,15.262
261,183.309,14.824
262,183.993,14.553
263,184.028,14.542
264,184.65,14.534
265,185.299,14.533
266,185.96,14.54
267,186.646,14.556
268,187.365,14.572
269,188.115,14.544
270,188.883,14.519
271,189.129,14.512
272,189.654,14.499
273,190.369,14.485
274,190.411,14.485
275,191.142,14.469
276,191.853,14.438
277,192.568,14.413
278,193.309,14.404
279,193.699,14.407
280,194.089,14.463
281,194.497,14.429
282,194.906,14.409
283,195.741,14.296
284,196.568,14.167
285,197.38,14.036
286,198.183,13.905
287,198.985,13.775
288,199.086,13.759
289,199.789,13.71
290,200.6,13.652
291,201.426,13.597
292,202.271,13.551
293,203.13,13.528
294,203.993,13.515
295,204.86,13.46
296,205.731,13.422
297,206.607,13.387
298,207.481,13.342
299,208.346,13.28
300,208.765,13.212
301,209.183,13.146
302,209.584,13.084
303,209.985,13.024
304,210.763,12.914
305,211.545,12.806
306,212.35,12.703
307,213.188,12.558
308,214.057,12.393
309,214.941,12.233
