ID,Station (ft),WSE 'Max' (feet)
1,0,NaN
2,1.484,NaN
3,2.968,NaN
4,3.145,NaN
5,3.328,NaN
6,3.877,NaN
7,4.076,NaN
8,4.609,NaN
9,4.917,NaN
10,6.019,NaN
11,7.14,NaN
12,7.201,NaN
13,7.364,NaN
14,8.488,NaN
15,9.463,NaN
16,9.966,NaN
17,10.93,NaN
18,11.729,NaN
19,12.527,NaN
20,13.084,NaN
21,13.527,NaN
22,13.537,NaN
23,13.737,367.909
24,14.365,367.909
25,14.792,367.909
26,15.617,367.909
27,15.676,367.909
28,17.091,367.909
29,18.506,367.909
30,19.921,367.909
31,21.336,367.909
32,22.751,367.908
33,24.166,367.908
34,24.898,367.908
35,25.282,367.908
36,25.298,367.908
37,25.313,367.908
38,26.055,367.908
39,27.225,367.907
40,27.945,367.907
41,27.998,367.907
42,28.361,367.907
43,28.807,367.906
44,29.712,367.905
45,30.616,367.903
46,30.84,367.903
47,30.999,367.903
48,31.416,367.902
49,32.086,367.902
50,33.079,367.901
51,34.167,367.899
52,35.255,367.898
53,36.208,367.896
54,36.245,367.896
55,36.397,367.896
56,36.556,367.896
57,36.823,367.896
58,37.143,367.894
59,37.567,367.891
60,37.583,367.891
61,37.631,367.891
62,38.087,367.888
63,39.019,367.884
64,39.896,367.881
65,40.703,367.879
66,41.477,367.876
67,42.283,367.874
68,43.161,367.87
69,44.09,367.862
70,45.021,367.849
71,45.907,367.829
72,46.382,367.815
73,46.723,367.812
74,47.472,367.81
75,48.18,367.79
76,48.877,367.77
77,49.59,367.749
78,50.335,367.728
79,51.113,367.707
80,51.92,367.692
81,52.761,367.684
82,53.632,367.677
83,54.522,367.669
84,55.417,367.661
85,55.617,367.659
86,56.312,367.643
87,57.196,367.623
88,58.062,367.604
89,58.909,367.584
90,59.747,367.564
91,60.583,367.553
92,61.002,367.547
93,61.421,367.541
94,61.844,367.537
95,62.267,367.532
96,63.126,367.521
97,63.565,367.515
98,64.004,367.51
99,64.124,367.508
100,64.455,367.497
101,64.907,367.482
102,65.835,367.451
103,66.796,367.42
104,67.823,367.388
105,68.957,367.374
106,70.182,367.372
107,71.392,367.37
108,71.852,367.369
109,72.482,367.363
110,73.44,367.334
111,74.324,367.3
112,75.195,367.274
113,76.085,367.253
114,76.133,367.252
115,77,367.241
116,77.465,367.234
117,77.93,367.228
118,78.398,367.222
119,78.865,367.216
120,79.798,367.203
121,80.721,367.189
122,81.629,367.176
123,82.112,367.168
124,82.53,367.158
125,83.437,367.134
126,84.358,367.111
127,85.296,367.088
128,86.245,367.065
129,86.72,367.053
130,87.196,367.05
131,87.672,367.044
132,88.147,367.04
133,89.097,367.031
134,90.043,367.023
135,90.981,367.015
136,91.523,367.01
137,91.907,366.999
138,92.817,366.975
139,93.697,366.951
140,94.532,366.927
141,95.325,366.904
142,96.122,366.899
143,97.035,366.899
144,98.2,366.899
145,99.605,366.899
146,99.858,366.899
147,101.021,366.841
148,101.579,366.83
149,101.615,366.83
150,102.213,366.826
151,103.154,366.821
152,103.959,366.815
153,104.728,366.813
154,105.505,366.809
155,106.3,366.808
156,107.105,366.808
157,107.919,366.807
158,108.753,366.807
159,108.911,366.807
160,109.539,366.8
161,109.609,366.798
162,110.467,366.779
163,111.305,366.76
164,112.119,366.742
165,112.919,366.724
166,113.712,366.707
167,114.497,366.696
168,115.267,366.692
169,116.018,366.689
170,116.755,366.687
171,117.492,366.683
172,118.266,366.68
173,118.68,366.677
174,119.137,366.672
175,120.152,366.662
176,121.275,366.651
177,122.373,366.642
178,123.323,366.634
179,124.125,366.631
180,124.856,366.629
181,125.587,366.627
182,126.358,366.625
183,126.787,366.624
184,127.182,366.62
185,128.066,366.603
186,128.226,366.601
187,128.995,366.591
188,129.186,366.589
189,129.947,366.579
190,130.9,366.566
191,131.837,366.563
192,132.748,366.562
193,133.632,366.56
194,133.969,366.559
195,134.507,366.557
196,135.388,366.55
197,136.285,366.537
198,137.197,366.523
199,138.114,366.514
200,138.177,366.513
201,139.032,366.507
202,139.948,366.501
203,140.861,366.496
204,141.773,366.49
205,142.687,366.483
206,143.605,366.476
207,144.524,366.469
208,144.97,366.466
209,145.445,366.457
210,146.366,366.441
211,147.286,366.424
212,148.207,366.407
213,149.128,366.406
214,150.048,366.405
215,150.508,366.404
216,150.969,366.404
217,151.455,366.403
218,151.889,366.402
219,152.81,366.399
220,153.729,366.392
221,154.646,366.383
222,155.558,366.374
223,156.469,366.364
224,156.845,366.36
225,156.879,366.36
226,157.38,366.354
227,157.963,366.347
228,158.291,366.345
229,158.743,366.342
230,159.195,366.338
231,160.084,366.332
232,160.947,366.326
233,161.787,366.321
234,162.618,366.315
235,163.411,366.31
236,163.452,366.31
237,164.292,366.3
238,165.14,366.291
239,166.001,366.281
240,166.881,366.272
241,167.777,366.262
242,168.682,366.258
243,169.59,366.253
244,170.498,366.249
245,171.399,366.245
246,172.023,366.242
247,172.284,366.239
248,173.149,366.229
249,174.009,366.219
250,174.88,366.209
251,175.769,366.2
252,176.669,366.196
253,177.571,366.195
254,178.471,366.194
255,179.36,366.193
256,179.68,366.193
257,180.226,366.187
258,181.057,366.171
259,181.846,366.157
260,182.594,366.147
261,183.309,366.14
262,183.993,366.136
263,184.028,366.136
264,184.65,366.129
265,185.299,366.122
266,185.96,366.115
267,186.646,366.107
268,187.365,366.1
269,188.115,366.097
270,188.883,366.093
271,189.129,366.092
272,189.654,366.09
273,190.369,366.087
274,190.411,366.087
275,191.142,366.081
276,191.853,366.076
277,192.568,366.07
278,193.309,366.064
279,193.699,366.06
280,194.089,366.057
281,194.497,366.054
282,194.906,366.051
283,195.741,366.048
284,196.568,366.045
285,197.38,366.042
286,198.183,366.039
287,198.985,366.036
288,199.086,366.036
289,199.789,366.029
290,200.6,366.022
291,201.426,366.015
292,202.271,366.008
293,203.13,366
294,203.993,365.994
295,204.86,365.992
296,205.731,365.989
297,206.607,365.986
298,207.481,365.984
299,208.346,365.981
300,208.765,365.978
301,209.183,365.974
302,209.584,365.971
303,209.985,365.968
304,210.763,365.962
305,211.545,365.955
306,212.35,365.949
307,213.188,365.944
308,214.057,365.939
309,214.941,365.934
310,215.822,365.93
311,216.7,365.925
312,216.964,365.924
313,217.583,365.916
314,218.468,365.906
315,219.341,365.896
316,220.186,365.886
317,220.991,365.878
318,221.758,365.87
319,222.506,365.866
320,223.269,365.86
321,223.669,365.858
322,224.069,365.856
323,224.905,365.85
324,225.756,365.845
325,226.081,365.843
326,226.602,365.837
327,227.416,365.828
328,228.173,365.819
329,228.881,365.811
330,229.001,365.81
331,229.598,365.803
332,230.368,365.794
333,231.184,365.79
334,232.013,365.788
335,232.845,365.786
336,233.689,365.784
337,234.554,365.782
338,235.291,365.78
339,235.437,365.779
340,235.883,365.776
341,236.329,365.773
342,236.778,365.77
343,237.227,365.767
344,238.124,365.761
345,239.022,365.755
346,239.918,365.749
347,240.808,365.744
348,241.688,365.74
349,242.562,365.735
350,243.436,365.73
351,244.281,365.726
352,244.318,365.725
353,245.215,365.714
354,246.125,365.702
355,247.044,365.691
356,247.967,365.679
357,248.89,365.67
358,249.35,365.667
359,249.81,365.664
360,250.27,365.661
361,250.73,365.658
362,251.652,365.652
363,252.571,365.645
364,252.796,365.644
365,253.479,365.635
366,254.372,365.623
367,255.256,365.611
368,256.135,365.6
369,257.003,365.589
370,257.429,365.583
371,257.856,365.578
372,258.278,365.574
373,258.7,365.57
374,259.534,365.562
375,260.36,365.554
376,261.175,365.546
377,261.983,365.538
378,262.22,365.535
379,262.787,365.515
380,263.591,365.485
381,264.393,365.456
382,265.191,365.435
383,265.986,365.435
384,266.784,365.435
385,267.599,365.435
386,267.762,365.435
387,268.469,365.433
388,269.454,365.426
389,270.554,365.414
390,271.645,365.396
391,272.591,365.382
392,273.38,365.372
393,274.102,365.363
394,274.134,365.363
395,274.831,365.348
396,275.577,365.332
397,276.344,365.317
398,277.147,365.303
399,277.989,365.291
400,278.856,365.281
401,279.734,365.271
402,280.615,365.261
403,281.492,365.249
404,282.377,365.231
405,283.327,365.207
406,283.833,365.191
407,284.431,365.175
408,285.55,365.164
409,285.676,365.164
410,286.907,365.158
411,287.983,365.151
412,288.913,365.142
413,289.777,365.134
414,290.625,365.123
415,291.221,365.112
416,291.472,365.108
417,292.159,365.097
418,292.32,365.095
419,293.16,365.082
420,293.986,365.068
421,294.805,365.057
422,295.153,365.054
423,295.629,365.048
424,296.464,365.04
425,296.886,365.036
426,297.309,365.031
427,297.732,365.027
428,298.155,365.023
429,298.181,365.023
430,298.576,365.017
431,298.997,365.011
432,299.414,365.005
433,299.832,364.999
434,300.655,364.987
435,301.472,364.976
436,302.288,364.964
437,303.107,364.957
438,303.918,364.952
439,304.706,364.947
440,305.45,364.943
441,306.133,364.939
442,306.772,364.935
443,306.798,364.935
444,307.418,364.923
445,308.122,364.909
446,308.898,364.894
447,309.728,364.878
448,310.583,364.867
449,311.446,364.863
450,312.314,364.86
451,313.192,364.857
452,313.696,364.855
453,314.079,364.853
454,314.966,364.846
455,315.843,364.835
456,316.709,364.822
457,317.569,364.81
458,318.429,364.797
459,319.297,364.782
460,319.877,364.771
461,320.176,364.769
462,321.063,364.763
463,321.948,364.757
464,322.384,364.754
465,322.82,364.751
466,323.676,364.744
467,324.525,364.738
468,324.951,364.736
469,325.151,364.734
470,325.377,364.731
471,325.804,364.725
472,326.231,364.72
473,327.068,364.709
474,327.86,364.699
475,328.605,364.69
476,329.327,364.685
477,329.689,364.684
478,330.052,364.684
479,330.42,364.684
480,330.789,364.684
481,331.544,364.684
482,332.236,364.683
483,332.323,364.683
484,333.129,364.676
485,333.944,364.665
486,334.751,364.657
487,335.548,364.651
488,336.074,364.648
489,336.341,364.646
490,337.133,364.642
491,337.922,364.638
492,338.709,364.634
493,339.496,364.63
494,340.298,364.627
495,341.127,364.624
496,341.982,364.621
497,342.415,364.619
498,342.847,364.618
499,343.095,364.617
500,343.712,364.613
501,344.567,364.607
502,344.987,364.604
503,345.407,364.601
504,346.235,364.595
505,347.06,364.59
506,347.89,364.585
507,348.729,364.582
508,349.573,364.58
509,350.412,364.577
510,351.222,364.574
511,351.984,364.572
512,352.108,364.571
513,352.35,364.569
514,352.715,364.566
515,353.469,364.56
516,354.292,364.553
517,355.181,364.546
518,356.099,364.539
519,357.015,364.534
520,357.919,364.531
521,358.82,364.529
522,359.725,364.527
523,360.638,364.524
524,361.079,364.523
525,361.554,364.518
526,362.462,364.509
527,363.359,364.499
528,364.247,364.491
529,364.688,364.489
530,365.129,364.489
531,366.002,364.489
532,366.431,364.489
533,366.861,364.489
534,367.284,364.489
535,367.707,364.489
536,368.553,364.487
537,369.401,364.48
538,370.25,364.469
539,371.094,364.459
540,371.918,364.452
541,372.7,364.446
542,372.76,364.445
543,373.431,364.438
544,374.128,364.43
545,374.83,364.422
546,375.568,364.413
547,376.345,364.407
548,377.147,364.403
549,377.952,364.399
550,378.758,364.396
551,379.044,364.394
552,379.166,364.392
553,379.574,364.386
554,380.406,364.374
555,381.249,364.361
556,382.097,364.352
557,382.946,364.352
558,383.797,364.352
559,384.656,364.352
560,384.699,364.352
561,385.53,364.349
562,386.422,364.341
563,387.326,364.331
564,388.236,364.321
565,389.147,364.313
566,390.057,364.304
567,390.966,364.292
568,391.233,364.287
569,391.874,364.28
570,392.781,364.27
571,393.236,364.265
572,393.691,364.263
573,394.602,364.263
574,395.509,364.262
575,395.56,364.262
576,396.405,364.258
577,397.286,364.245
578,398.155,364.232
579,399.025,364.226
580,399.619,364.224
581,399.904,364.223
582,400.788,364.219
583,401.667,364.214
584,402.536,364.21
585,403.4,364.207
586,404.273,364.205
587,405.184,364.202
588,406.057,364.2
589,406.17,364.199
590,407.236,364.194
591,408.326,364.189
592,409.375,364.184
593,410.365,364.18
594,411.318,364.176
595,412.248,364.174
596,413.154,364.171
597,414.036,364.168
598,414.566,364.166
599,414.908,364.16
600,415.346,364.159
601,415.586,364.161
602,415.785,364.159
603,416.667,364.152
604,417.551,364.145
605,418.432,364.139
606,419.304,364.131
607,419.729,364.128
608,420.166,364.127
609,421.023,364.125
610,421.885,364.122
611,422.753,364.12
612,423.623,364.118
613,423.964,364.117
614,424.493,364.113
615,425.362,364.106
616,426.229,364.099
617,427.084,364.09
618,427.926,364.09
619,428.76,364.09
620,429.603,364.09
621,430.032,364.09
622,430.461,364.09
623,430.632,364.09
624,431.323,364.089
625,432.174,364.084
626,433.005,364.076
627,433.825,364.069
628,434.435,364.065
629,434.653,364.064
630,435.497,364.061
631,436.353,364.057
632,437.214,364.053
633,438.074,364.05
634,438.504,364.048
635,438.935,364.046
636,439.792,364.043
637,440.641,364.04
638,441.294,364.037
639,441.481,364.036
640,442.324,364.032
641,443.179,364.027
642,444.036,364.022
643,444.871,364.018
644,445.67,364.013
645,446.441,364.01
646,447.201,364.007
647,447.977,364.007
648,448.785,364.005
649,449.618,364.003
650,450.464,364.002
651,450.937,364.001
652,451.311,363.998
653,452.158,363.992
654,453.004,363.986
655,453.85,363.979
656,454.693,363.976
657,455.539,363.976
658,456.396,363.976
659,457.266,363.976
660,457.668,363.976
661,458.134,363.975
662,458.976,363.972
663,459.776,363.966
664,460.546,363.96
665,461.313,363.954
666,461.622,363.952
667,462.085,363.95
668,462.85,363.945
669,463.606,363.941
670,464.362,363.938
671,465.131,363.934
672,465.911,363.934
673,466.702,363.934
674,467.502,363.934
675,468.217,363.934
676,468.31,363.934
677,469.118,363.919
678,469.548,363.915
679,469.921,363.914
680,470.317,363.913
681,470.713,363.911
682,471.498,363.91
683,472.28,363.907
684,473.058,363.905
685,473.831,363.902
686,474.602,363.901
687,475.378,363.899
688,476.166,363.897
689,476.966,363.895
690,477.771,363.893
691,478.302,363.892
692,478.588,363.89
693,479.421,363.886
694,480.266,363.883
695,481.118,363.879
696,481.967,363.875
697,482.806,363.872
698,483.637,363.87
699,484.465,363.868
700,485.293,363.865
701,486.121,363.863
702,486.951,363.86
703,487.786,363.857
704,488.631,363.854
705,489.135,363.852
706,489.303,363.851
707,489.483,363.85
708,490.338,363.845
709,491.189,363.84
710,492.033,363.836
711,492.862,363.835
712,493.667,363.834
713,494.437,363.833
714,494.452,363.833
715,495.238,363.829
716,496.035,363.826
717,496.831,363.822
718,497.611,363.818
719,498.371,363.816
