ID,Station (ft),WSE 'Max' (feet)
1,0,NaN
2,1.484,NaN
3,2.968,NaN
4,3.145,NaN
5,3.328,NaN
6,3.877,NaN
7,4.076,NaN
8,4.609,NaN
9,4.917,NaN
10,6.019,NaN
11,7.14,NaN
12,7.201,NaN
13,7.364,NaN
14,8.488,NaN
15,9.463,NaN
16,9.966,NaN
17,10.93,NaN
18,11.729,NaN
19,12.527,NaN
20,13.084,NaN
21,13.527,NaN
22,13.537,NaN
23,13.737,367.2
24,14.365,367.2
25,14.792,367.2
26,15.617,367.2
27,15.676,367.2
28,17.091,367.2
29,18.506,367.2
30,19.921,367.2
31,21.336,367.2
32,22.751,367.199
33,24.166,367.199
34,24.898,367.199
35,25.282,367.199
36,25.298,367.199
37,25.313,367.199
38,26.055,367.199
39,27.225,367.198
40,27.945,367.198
41,27.998,367.198
42,28.361,367.197
43,28.807,367.197
44,29.712,367.195
45,30.616,367.194
46,30.84,367.193
47,30.999,367.193
48,31.416,367.192
49,32.086,367.191
50,33.079,367.19
51,34.167,367.189
52,35.255,367.187
53,36.208,367.185
54,36.245,367.185
55,36.397,367.185
56,36.556,367.185
57,36.823,367.184
58,37.143,367.182
59,37.567,367.18
60,37.583,367.179
61,37.631,367.179
62,38.087,367.177
63,39.019,367.172
64,39.896,367.169
65,40.703,367.166
66,41.477,367.163
67,42.283,367.161
68,43.161,367.157
69,44.09,367.149
70,45.021,367.136
71,45.907,367.117
72,46.382,367.104
73,46.723,367.101
74,47.472,367.098
75,48.18,367.084
76,48.877,367.071
77,49.59,367.057
78,50.335,367.044
79,51.113,367.029
80,51.92,367.019
81,52.761,367.013
82,53.632,367.006
83,54.522,367
84,55.417,366.993
85,55.617,366.991
86,56.312,366.979
87,57.196,366.962
88,58.062,366.946
89,58.909,366.93
90,59.747,366.915
91,60.583,366.904
92,61.002,366.9
93,61.421,366.894
94,61.844,366.89
95,62.267,366.886
96,63.126,366.876
97,63.565,366.871
98,64.004,366.867
99,64.124,366.865
100,64.455,366.855
101,64.907,366.841
102,65.835,366.812
103,66.796,366.784
104,67.823,366.755
105,68.957,366.742
106,70.182,366.738
107,71.392,366.735
108,71.852,366.734
109,72.482,366.727
110,73.44,366.699
111,74.324,366.667
112,75.195,366.642
113,76.085,366.622
114,76.133,366.621
115,77,366.61
116,77.465,366.604
117,77.93,366.598
118,78.398,366.593
119,78.865,366.587
120,79.798,366.574
121,80.721,366.562
122,81.629,366.548
123,82.112,366.541
124,82.53,366.531
125,83.437,366.509
126,84.358,366.486
127,85.296,366.464
128,86.245,366.442
129,86.72,366.431
130,87.196,366.428
131,87.672,366.424
132,88.147,366.421
133,89.097,366.416
134,90.043,366.41
135,90.981,366.405
136,91.523,366.402
137,91.907,366.394
138,92.817,366.376
139,93.697,366.359
140,94.532,366.341
141,95.325,366.324
142,96.122,366.32
143,97.035,366.32
144,98.2,366.32
145,99.605,366.32
146,99.858,366.32
147,101.021,366.275
148,101.579,366.265
149,101.615,366.265
150,102.213,366.26
151,103.154,366.252
152,103.959,366.245
153,104.728,366.242
154,105.505,366.237
155,106.3,366.235
156,107.105,366.234
157,107.919,366.234
158,108.753,366.234
159,108.911,366.234
160,109.539,366.228
161,109.609,366.227
162,110.467,366.213
163,111.305,366.199
164,112.119,366.185
165,112.919,366.171
166,113.712,366.159
167,114.497,366.15
168,115.267,366.146
169,116.018,366.142
170,116.755,366.14
171,117.492,366.136
172,118.266,366.132
173,118.68,366.129
174,119.137,366.124
175,120.152,366.113
176,121.275,366.102
177,122.373,366.092
178,123.323,366.084
179,124.125,366.081
180,124.856,366.079
181,125.587,366.076
182,126.358,366.074
183,126.787,366.073
184,127.182,366.069
185,128.066,366.051
186,128.226,366.049
187,128.995,366.04
188,129.186,366.038
189,129.947,366.029
190,130.9,366.017
191,131.837,366.016
192,132.748,366.016
193,133.632,366.015
194,133.969,366.015
195,134.507,366.014
196,135.388,366.009
197,136.285,365.998
198,137.197,365.986
199,138.114,365.978
200,138.177,365.977
201,139.032,365.972
202,139.948,365.966
203,140.861,365.96
204,141.773,365.954
205,142.687,365.948
206,143.605,365.942
207,144.524,365.935
208,144.97,365.932
209,145.445,365.924
210,146.366,365.909
211,147.286,365.893
212,148.207,365.878
213,149.128,365.876
214,150.048,365.875
215,150.508,365.874
216,150.969,365.874
217,151.455,365.873
218,151.889,365.872
219,152.81,365.867
220,153.729,365.859
221,154.646,365.848
222,155.558,365.837
223,156.469,365.825
224,156.845,365.82
225,156.879,365.82
226,157.38,365.812
227,157.963,365.804
228,158.291,365.801
229,158.743,365.797
230,159.195,365.793
231,160.084,365.785
232,160.947,365.778
233,161.787,365.771
234,162.618,365.764
235,163.411,365.758
236,163.452,365.757
237,164.292,365.746
238,165.14,365.734
239,166.001,365.722
240,166.881,365.71
241,167.777,365.699
242,168.682,365.694
243,169.59,365.688
244,170.498,365.683
245,171.399,365.679
246,172.023,365.675
247,172.284,365.672
248,173.149,365.661
249,174.009,365.651
250,174.88,365.641
251,175.769,365.631
252,176.669,365.626
253,177.571,365.624
254,178.471,365.622
255,179.36,365.621
256,179.68,365.62
257,180.226,365.616
258,181.057,365.602
259,181.846,365.589
260,182.594,365.58
261,183.309,365.573
262,183.993,365.569
263,184.028,365.569
264,184.65,365.565
265,185.299,365.56
266,185.96,365.554
267,186.646,365.549
268,187.365,365.543
269,188.115,365.54
270,188.883,365.536
271,189.129,365.535
272,189.654,365.533
273,190.369,365.53
274,190.411,365.529
275,191.142,365.524
276,191.853,365.518
277,192.568,365.512
278,193.309,365.506
279,193.699,365.503
280,194.089,365.499
281,194.497,365.496
282,194.906,365.493
283,195.741,365.489
284,196.568,365.486
285,197.38,365.483
286,198.183,365.479
287,198.985,365.476
288,199.086,365.475
289,199.789,365.468
290,200.6,365.46
291,201.426,365.452
292,202.271,365.444
293,203.13,365.436
294,203.993,365.43
295,204.86,365.427
296,205.731,365.424
297,206.607,365.422
298,207.481,365.419
299,208.346,365.416
300,208.765,365.412
301,209.183,365.409
302,209.584,365.405
303,209.985,365.402
304,210.763,365.395
305,211.545,365.389
306,212.35,365.382
307,213.188,365.377
308,214.057,365.373
309,214.941,365.368
310,215.822,365.364
311,216.7,365.36
312,216.964,365.359
313,217.583,365.353
314,218.468,365.344
315,219.341,365.336
316,220.186,365.329
317,220.991,365.321
318,221.758,365.315
319,222.506,365.31
320,223.269,365.305
321,223.669,365.303
322,224.069,365.3
323,224.905,365.294
324,225.756,365.289
325,226.081,365.286
326,226.602,365.28
327,227.416,365.27
328,228.173,365.261
329,228.881,365.253
330,229.001,365.251
331,229.598,365.244
332,230.368,365.235
333,231.184,365.23
334,232.013,365.227
335,232.845,365.225
336,233.689,365.223
337,234.554,365.22
338,235.291,365.218
339,235.437,365.217
340,235.883,365.214
341,236.329,365.21
342,236.778,365.206
343,237.227,365.203
344,238.124,365.196
345,239.022,365.188
346,239.918,365.182
347,240.808,365.178
348,241.688,365.174
349,242.562,365.17
350,243.436,365.166
351,244.281,365.162
352,244.318,365.161
353,245.215,365.151
354,246.125,365.141
355,247.044,365.131
356,247.967,365.12
357,248.89,365.112
358,249.35,365.111
359,249.81,365.109
360,250.27,365.107
361,250.73,365.105
362,251.652,365.101
363,252.571,365.097
364,252.796,365.096
365,253.479,365.089
366,254.372,365.08
367,255.256,365.071
368,256.135,365.062
369,257.003,365.054
370,257.429,365.049
371,257.856,365.046
372,258.278,365.044
373,258.7,365.042
374,259.534,365.037
375,260.36,365.032
376,261.175,365.027
377,261.983,365.023
378,262.22,365.021
379,262.787,365.01
380,263.591,364.993
381,264.393,364.977
382,265.191,364.965
383,265.986,364.965
384,266.784,364.965
385,267.599,364.965
386,267.762,364.964
387,268.469,364.963
388,269.454,364.958
389,270.554,364.947
390,271.645,364.934
391,272.591,364.924
392,273.38,364.918
393,274.102,364.915
394,274.134,364.915
395,274.831,364.909
396,275.577,364.903
397,276.344,364.897
398,277.147,364.891
399,277.989,364.885
400,278.856,364.88
401,279.734,364.875
402,280.615,364.87
403,281.492,364.865
404,282.377,364.856
405,283.327,364.844
406,283.833,364.836
407,284.431,364.829
408,285.55,364.82
409,285.676,364.82
410,286.907,364.815
411,287.983,364.809
412,288.913,364.804
413,289.777,364.798
414,290.625,364.79
415,291.221,364.783
416,291.472,364.78
417,292.159,364.772
418,292.32,364.77
419,293.16,364.761
420,293.986,364.751
421,294.805,364.743
422,295.153,364.74
423,295.629,364.736
424,296.464,364.729
425,296.886,364.726
426,297.309,364.722
427,297.732,364.719
428,298.155,364.715
429,298.181,364.715
430,298.576,364.71
431,298.997,364.705
432,299.414,364.7
433,299.832,364.695
434,300.655,364.685
435,301.472,364.675
436,302.288,364.665
437,303.107,364.658
438,303.918,364.653
439,304.706,364.648
440,305.45,364.643
441,306.133,364.638
442,306.772,364.634
443,306.798,364.634
444,307.418,364.622
445,308.122,364.608
446,308.898,364.593
447,309.728,364.576
448,310.583,364.564
449,311.446,364.561
450,312.314,364.558
451,313.192,364.555
452,313.696,364.553
453,314.079,364.552
454,314.966,364.544
455,315.843,364.532
456,316.709,364.518
457,317.569,364.505
458,318.429,364.491
459,319.297,364.477
460,319.877,364.466
461,320.176,364.464
462,321.063,364.459
463,321.948,364.453
464,322.384,364.45
465,322.82,364.447
466,323.676,364.441
467,324.525,364.435
468,324.951,364.432
469,325.151,364.431
470,325.377,364.428
471,325.804,364.423
472,326.231,364.417
473,327.068,364.407
474,327.86,364.398
475,328.605,364.389
476,329.327,364.384
477,329.689,364.384
478,330.052,364.383
479,330.42,364.383
480,330.789,364.383
481,331.544,364.383
482,332.236,364.383
483,332.323,364.383
484,333.129,364.376
485,333.944,364.366
486,334.751,364.359
487,335.548,364.354
488,336.074,364.35
489,336.341,364.348
490,337.133,364.344
491,337.922,364.339
492,338.709,364.335
493,339.496,364.33
494,340.298,364.327
495,341.127,364.324
496,341.982,364.321
497,342.415,364.319
498,342.847,364.318
499,343.095,364.317
500,343.712,364.313
501,344.567,364.307
502,344.987,364.304
503,345.407,364.301
504,346.235,364.295
505,347.06,364.289
506,347.89,364.285
507,348.729,364.282
508,349.573,364.279
509,350.412,364.276
510,351.222,364.274
511,351.984,364.271
512,352.108,364.271
513,352.35,364.269
514,352.715,364.266
515,353.469,364.259
516,354.292,364.252
517,355.181,364.245
518,356.099,364.237
519,357.015,364.231
520,357.919,364.229
521,358.82,364.227
522,359.725,364.225
523,360.638,364.223
524,361.079,364.222
525,361.554,364.217
526,362.462,364.208
527,363.359,364.2
528,364.247,364.192
529,364.688,364.19
530,365.129,364.19
531,366.002,364.19
532,366.431,364.19
533,366.861,364.19
534,367.284,364.19
535,367.707,364.19
536,368.553,364.188
537,369.401,364.183
538,370.25,364.174
539,371.094,364.165
540,371.918,364.158
541,372.7,364.153
542,372.76,364.153
543,373.431,364.147
544,374.128,364.14
545,374.83,364.133
546,375.568,364.126
547,376.345,364.12
548,377.147,364.116
549,377.952,364.112
550,378.758,364.108
551,379.044,364.107
552,379.166,364.105
553,379.574,364.099
554,380.406,364.086
555,381.249,364.074
556,382.097,364.064
557,382.946,364.064
558,383.797,364.063
559,384.656,364.063
560,384.699,364.063
561,385.53,364.06
562,386.422,364.053
563,387.326,364.045
564,388.236,364.037
565,389.147,364.029
566,390.057,364.021
567,390.966,364.009
568,391.233,364.005
569,391.874,363.998
570,392.781,363.988
571,393.236,363.984
572,393.691,363.982
573,394.602,363.982
574,395.509,363.981
575,395.56,363.981
576,396.405,363.977
577,397.286,363.966
578,398.155,363.955
579,399.025,363.95
580,399.619,363.948
581,399.904,363.947
582,400.788,363.943
583,401.667,363.94
584,402.536,363.936
585,403.4,363.933
586,404.273,363.93
587,405.184,363.928
588,406.057,363.926
589,406.17,363.925
590,407.236,363.919
591,408.326,363.914
592,409.375,363.91
593,410.365,363.905
594,411.318,363.901
595,412.248,363.899
596,413.154,363.896
597,414.036,363.893
598,414.566,363.892
599,414.908,363.886
600,415.346,363.884
601,415.586,363.886
602,415.785,363.885
603,416.667,363.88
604,417.551,363.875
605,418.432,363.87
606,419.304,363.865
607,419.729,363.863
608,420.166,363.862
609,421.023,363.86
610,421.885,363.858
611,422.753,363.856
612,423.623,363.854
613,423.964,363.854
614,424.493,363.85
615,425.362,363.845
616,426.229,363.839
617,427.084,363.832
618,427.926,363.832
619,428.76,363.832
620,429.603,363.832
621,430.032,363.832
622,430.461,363.832
623,430.632,363.832
624,431.323,363.831
625,432.174,363.827
626,433.005,363.82
627,433.825,363.813
628,434.435,363.81
629,434.653,363.809
630,435.497,363.806
631,436.353,363.802
632,437.214,363.799
633,438.074,363.795
634,438.504,363.794
635,438.935,363.792
636,439.792,363.789
637,440.641,363.786
638,441.294,363.784
639,441.481,363.783
640,442.324,363.778
641,443.179,363.774
642,444.036,363.769
643,444.871,363.765
644,445.67,363.761
645,446.441,363.757
646,447.201,363.755
647,447.977,363.754
648,448.785,363.753
649,449.618,363.752
650,450.464,363.75
651,450.937,363.749
652,451.311,363.747
653,452.158,363.741
654,453.004,363.736
655,453.85,363.73
656,454.693,363.728
657,455.539,363.727
658,456.396,363.727
659,457.266,363.727
660,457.668,363.727
661,458.134,363.726
662,458.976,363.724
663,459.776,363.719
664,460.546,363.713
665,461.313,363.709
666,461.622,363.707
667,462.085,363.705
668,462.85,363.701
669,463.606,363.698
670,464.362,363.695
671,465.131,363.692
672,465.911,363.692
673,466.702,363.692
674,467.502,363.692
675,468.217,363.692
676,468.31,363.692
677,469.118,363.677
678,469.548,363.672
679,469.921,363.671
680,470.317,363.67
681,470.713,363.668
682,471.498,363.665
683,472.28,363.662
684,473.058,363.66
685,473.831,363.657
686,474.602,363.654
687,475.378,363.652
688,476.166,363.649
689,476.966,363.647
690,477.771,363.644
691,478.302,363.643
692,478.588,363.641
693,479.421,363.636
694,480.266,363.63
695,481.118,363.626
696,481.967,363.621
697,482.806,363.618
698,483.637,363.615
699,484.465,363.612
700,485.293,363.61
701,486.121,363.607
702,486.951,363.605
703,487.786,363.602
704,488.631,363.599
705,489.135,363.597
706,489.303,363.596
707,489.483,363.595
708,490.338,363.59
709,491.189,363.585
710,492.033,363.581
711,492.862,363.58
712,493.667,363.579
713,494.437,363.578
714,494.452,363.578
715,495.238,363.574
716,496.035,363.571
717,496.831,363.567
718,497.611,363.563
719,498.371,363.561
