ID,Station (ft),WSE 'Max' (feet)
1,0,NaN
2,1.484,NaN
3,2.968,NaN
4,3.145,NaN
5,3.328,NaN
6,3.877,NaN
7,4.076,NaN
8,4.609,NaN
9,4.917,NaN
10,6.019,NaN
11,7.14,NaN
12,7.201,NaN
13,7.364,NaN
14,8.488,NaN
15,9.463,NaN
16,9.966,NaN
17,10.93,NaN
18,11.729,NaN
19,12.527,NaN
20,13.084,NaN
21,13.527,NaN
22,13.537,NaN
23,13.737,369.569
24,14.365,369.569
25,14.792,369.569
26,15.617,369.569
27,15.676,369.569
28,17.091,369.569
29,18.506,369.569
30,19.921,369.569
31,21.336,369.569
32,22.751,369.568
33,24.166,369.568
34,24.898,369.568
35,25.282,369.568
36,25.298,369.568
37,25.313,369.568
38,26.055,369.568
39,27.225,369.567
40,27.945,369.567
41,27.998,369.567
42,28.361,369.566
43,28.807,369.566
44,29.712,369.564
45,30.616,369.563
46,30.84,369.562
47,30.999,369.562
48,31.416,369.561
49,32.086,369.56
50,33.079,369.559
51,34.167,369.558
52,35.255,369.556
53,36.208,369.554
54,36.245,369.554
55,36.397,369.554
56,36.556,369.554
57,36.823,369.553
58,37.143,369.551
59,37.567,369.548
60,37.583,369.548
61,37.631,369.548
62,38.087,369.545
63,39.019,369.541
64,39.896,369.537
65,40.703,369.534
66,41.477,369.532
67,42.283,369.529
68,43.161,369.524
69,44.09,369.515
70,45.021,369.5
71,45.907,369.478
72,46.382,369.462
73,46.723,369.46
74,47.472,369.457
75,48.18,369.434
76,48.877,369.412
77,49.59,369.389
78,50.335,369.366
79,51.113,369.342
80,51.92,369.326
81,52.761,369.317
82,53.632,369.309
83,54.522,369.3
84,55.417,369.291
85,55.617,369.289
86,56.312,369.272
87,57.196,369.25
88,58.062,369.229
89,58.909,369.207
90,59.747,369.186
91,60.583,369.173
92,61.002,369.167
93,61.421,369.16
94,61.844,369.156
95,62.267,369.15
96,63.126,369.138
97,63.565,369.132
98,64.004,369.126
99,64.124,369.125
100,64.455,369.113
101,64.907,369.096
102,65.835,369.063
103,66.796,369.029
104,67.823,368.995
105,68.957,368.98
106,70.182,368.978
107,71.392,368.976
108,71.852,368.976
109,72.482,368.969
110,73.44,368.939
111,74.324,368.903
112,75.195,368.876
113,76.085,368.854
114,76.133,368.853
115,77,368.842
116,77.465,368.835
117,77.93,368.828
118,78.398,368.822
119,78.865,368.816
120,79.798,368.803
121,80.721,368.789
122,81.629,368.775
123,82.112,368.767
124,82.53,368.756
125,83.437,368.731
126,84.358,368.707
127,85.296,368.683
128,86.245,368.659
129,86.72,368.647
130,87.196,368.643
131,87.672,368.637
132,88.147,368.633
133,89.097,368.624
134,90.043,368.616
135,90.981,368.607
136,91.523,368.602
137,91.907,368.592
138,92.817,368.566
139,93.697,368.542
140,94.532,368.517
141,95.325,368.493
142,96.122,368.488
143,97.035,368.488
144,98.2,368.488
145,99.605,368.488
146,99.858,368.488
147,101.021,368.428
148,101.579,368.416
149,101.615,368.416
150,102.213,368.413
151,103.154,368.408
152,103.959,368.403
153,104.728,368.401
154,105.505,368.397
155,106.3,368.396
156,107.105,368.396
157,107.919,368.396
158,108.753,368.395
159,108.911,368.395
160,109.539,368.387
161,109.609,368.385
162,110.467,368.366
163,111.305,368.348
164,112.119,368.33
165,112.919,368.312
166,113.712,368.296
167,114.497,368.284
168,115.267,368.281
169,116.018,368.278
170,116.755,368.275
171,117.492,368.272
172,118.266,368.268
173,118.68,368.266
174,119.137,368.261
175,120.152,368.251
176,121.275,368.24
177,122.373,368.23
178,123.323,368.223
179,124.125,368.22
180,124.856,368.218
181,125.587,368.215
182,126.358,368.213
183,126.787,368.212
184,127.182,368.208
185,128.066,368.192
186,128.226,368.19
187,128.995,368.18
188,129.186,368.178
189,129.947,368.167
190,130.9,368.154
191,131.837,368.151
192,132.748,368.151
193,133.632,368.149
194,133.969,368.148
195,134.507,368.147
196,135.388,368.14
197,136.285,368.126
198,137.197,368.112
199,138.114,368.103
200,138.177,368.103
201,139.032,368.098
202,139.948,368.092
203,140.861,368.087
204,141.773,368.081
205,142.687,368.075
206,143.605,368.068
207,144.524,368.061
208,144.97,368.058
209,145.445,368.049
210,146.366,368.033
211,147.286,368.016
212,148.207,368
213,149.128,367.999
214,150.048,367.999
215,150.508,367.998
216,150.969,367.998
217,151.455,367.998
218,151.889,367.997
219,152.81,367.994
220,153.729,367.988
221,154.646,367.979
222,155.558,367.971
223,156.469,367.962
224,156.845,367.958
225,156.879,367.957
226,157.38,367.952
227,157.963,367.946
228,158.291,367.944
229,158.743,367.941
230,159.195,367.938
231,160.084,367.932
232,160.947,367.927
233,161.787,367.922
234,162.618,367.917
235,163.411,367.913
236,163.452,367.912
237,164.292,367.904
238,165.14,367.895
239,166.001,367.886
240,166.881,367.877
241,167.777,367.869
242,168.682,367.865
243,169.59,367.86
244,170.498,367.856
245,171.399,367.852
246,172.023,367.849
247,172.284,367.846
248,173.149,367.837
249,174.009,367.828
250,174.88,367.819
251,175.769,367.81
252,176.669,367.805
253,177.571,367.804
254,178.471,367.803
255,179.36,367.803
256,179.68,367.802
257,180.226,367.797
258,181.057,367.782
259,181.846,367.768
260,182.594,367.758
261,183.309,367.751
262,183.993,367.747
263,184.028,367.747
264,184.65,367.74
265,185.299,367.733
266,185.96,367.726
267,186.646,367.718
268,187.365,367.711
269,188.115,367.707
270,188.883,367.704
271,189.129,367.703
272,189.654,367.701
273,190.369,367.698
274,190.411,367.697
275,191.142,367.692
276,191.853,367.686
277,192.568,367.68
278,193.309,367.674
279,193.699,367.67
280,194.089,367.666
281,194.497,367.664
282,194.906,367.661
283,195.741,367.658
284,196.568,367.655
285,197.38,367.652
286,198.183,367.649
287,198.985,367.646
288,199.086,367.645
289,199.789,367.639
290,200.6,367.632
291,201.426,367.624
292,202.271,367.617
293,203.13,367.61
294,203.993,367.604
295,204.86,367.601
296,205.731,367.598
297,206.607,367.596
298,207.481,367.593
299,208.346,367.591
300,208.765,367.587
301,209.183,367.584
302,209.584,367.581
303,209.985,367.577
304,210.763,367.571
305,211.545,367.565
306,212.35,367.559
307,213.188,367.554
308,214.057,367.549
309,214.941,367.545
310,215.822,367.54
311,216.7,367.536
312,216.964,367.534
313,217.583,367.527
314,218.468,367.518
315,219.341,367.508
316,220.186,367.499
317,220.991,367.49
318,221.758,367.483
319,222.506,367.479
320,223.269,367.473
321,223.669,367.472
322,224.069,367.469
323,224.905,367.464
324,225.756,367.459
325,226.081,367.457
326,226.602,367.451
327,227.416,367.442
328,228.173,367.434
329,228.881,367.427
330,229.001,367.425
331,229.598,367.419
332,230.368,367.41
333,231.184,367.406
334,232.013,367.404
335,232.845,367.402
336,233.689,367.401
337,234.554,367.399
338,235.291,367.397
339,235.437,367.396
340,235.883,367.393
341,236.329,367.39
342,236.778,367.388
343,237.227,367.385
344,238.124,367.379
345,239.022,367.373
346,239.918,367.367
347,240.808,367.363
348,241.688,367.358
349,242.562,367.354
350,243.436,367.35
351,244.281,367.345
352,244.318,367.345
353,245.215,367.334
354,246.125,367.324
355,247.044,367.313
356,247.967,367.302
357,248.89,367.293
358,249.35,367.29
359,249.81,367.287
360,250.27,367.284
361,250.73,367.281
362,251.652,367.275
363,252.571,367.269
364,252.796,367.268
365,253.479,367.259
366,254.372,367.248
367,255.256,367.237
368,256.135,367.226
369,257.003,367.215
370,257.429,367.21
371,257.856,367.205
372,258.278,367.201
373,258.7,367.197
374,259.534,367.189
375,260.36,367.181
376,261.175,367.173
377,261.983,367.165
378,262.22,367.162
379,262.787,367.142
380,263.591,367.113
381,264.393,367.084
382,265.191,367.063
383,265.986,367.063
384,266.784,367.063
385,267.599,367.063
386,267.762,367.063
387,268.469,367.062
388,269.454,367.055
389,270.554,367.042
390,271.645,367.024
391,272.591,367.009
392,273.38,366.998
393,274.102,366.99
394,274.134,366.99
395,274.831,366.974
396,275.577,366.957
397,276.344,366.941
398,277.147,366.926
399,277.989,366.913
400,278.856,366.903
401,279.734,366.892
402,280.615,366.881
403,281.492,366.868
404,282.377,366.849
405,283.327,366.824
406,283.833,366.807
407,284.431,366.79
408,285.55,366.778
409,285.676,366.778
410,286.907,366.771
411,287.983,366.763
412,288.913,366.754
413,289.777,366.746
414,290.625,366.734
415,291.221,366.722
416,291.472,366.718
417,292.159,366.706
418,292.32,366.703
419,293.16,366.689
420,293.986,366.674
421,294.805,366.662
422,295.153,366.658
423,295.629,366.653
424,296.464,366.643
425,296.886,366.639
426,297.309,366.634
427,297.732,366.629
428,298.155,366.625
429,298.181,366.625
430,298.576,366.618
431,298.997,366.612
432,299.414,366.606
433,299.832,366.599
434,300.655,366.587
435,301.472,366.574
436,302.288,366.562
437,303.107,366.554
438,303.918,366.549
439,304.706,366.544
440,305.45,366.539
441,306.133,366.534
442,306.772,366.53
443,306.798,366.53
444,307.418,366.518
445,308.122,366.503
446,308.898,366.488
447,309.728,366.471
448,310.583,366.459
449,311.446,366.455
450,312.314,366.451
451,313.192,366.447
452,313.696,366.445
453,314.079,366.443
454,314.966,366.436
455,315.843,366.425
456,316.709,366.412
457,317.569,366.4
458,318.429,366.386
459,319.297,366.371
460,319.877,366.359
461,320.176,366.357
462,321.063,366.351
463,321.948,366.345
464,322.384,366.341
465,322.82,366.338
466,323.676,366.332
467,324.525,366.326
468,324.951,366.323
469,325.151,366.322
470,325.377,366.318
471,325.804,366.313
472,326.231,366.307
473,327.068,366.296
474,327.86,366.286
475,328.605,366.277
476,329.327,366.271
477,329.689,366.271
478,330.052,366.27
479,330.42,366.27
480,330.789,366.27
481,331.544,366.27
482,332.236,366.27
483,332.323,366.27
484,333.129,366.263
485,333.944,366.251
486,334.751,366.243
487,335.548,366.238
488,336.074,366.234
489,336.341,366.233
490,337.133,366.228
491,337.922,366.224
492,338.709,366.22
493,339.496,366.215
494,340.298,366.212
495,341.127,366.209
496,341.982,366.206
497,342.415,366.205
498,342.847,366.203
499,343.095,366.202
500,343.712,366.198
501,344.567,366.192
502,344.987,366.188
503,345.407,366.185
504,346.235,366.179
505,347.06,366.174
506,347.89,366.169
507,348.729,366.166
508,349.573,366.163
509,350.412,366.16
510,351.222,366.157
511,351.984,366.155
512,352.108,366.154
513,352.35,366.152
514,352.715,366.149
515,353.469,366.143
516,354.292,366.135
517,355.181,366.128
518,356.099,366.12
519,357.015,366.115
520,357.919,366.112
521,358.82,366.109
522,359.725,366.107
523,360.638,366.104
524,361.079,366.103
525,361.554,366.098
526,362.462,366.088
527,363.359,366.078
528,364.247,366.069
529,364.688,366.067
530,365.129,366.067
531,366.002,366.067
532,366.431,366.067
533,366.861,366.067
534,367.284,366.066
535,367.707,366.066
536,368.553,366.064
537,369.401,366.057
538,370.25,366.046
539,371.094,366.035
540,371.918,366.027
541,372.7,366.021
542,372.76,366.02
543,373.431,366.012
544,374.128,366.004
545,374.83,365.995
546,375.568,365.986
547,376.345,365.979
548,377.147,365.975
549,377.952,365.971
550,378.758,365.967
551,379.044,365.965
552,379.166,365.963
553,379.574,365.957
554,380.406,365.943
555,381.249,365.93
556,382.097,365.92
557,382.946,365.92
558,383.797,365.92
559,384.656,365.92
560,384.699,365.92
561,385.53,365.917
562,386.422,365.909
563,387.326,365.898
564,388.236,365.888
565,389.147,365.879
566,390.057,365.87
567,390.966,365.857
568,391.233,365.852
569,391.874,365.844
570,392.781,365.834
571,393.236,365.828
572,393.691,365.826
573,394.602,365.826
574,395.509,365.826
575,395.56,365.826
576,396.405,365.821
577,397.286,365.807
578,398.155,365.794
579,399.025,365.788
580,399.619,365.786
581,399.904,365.784
582,400.788,365.78
583,401.667,365.775
584,402.536,365.771
585,403.4,365.768
586,404.273,365.765
587,405.184,365.763
588,406.057,365.76
589,406.17,365.759
590,407.236,365.754
591,408.326,365.748
592,409.375,365.744
593,410.365,365.739
594,411.318,365.735
595,412.248,365.732
596,413.154,365.728
597,414.036,365.725
598,414.566,365.723
599,414.908,365.717
600,415.346,365.716
601,415.586,365.718
602,415.785,365.716
603,416.667,365.708
604,417.551,365.7
605,418.432,365.693
606,419.304,365.685
607,419.729,365.681
608,420.166,365.68
609,421.023,365.677
610,421.885,365.675
611,422.753,365.672
612,423.623,365.67
613,423.964,365.669
614,424.493,365.664
615,425.362,365.656
616,426.229,365.649
617,427.084,365.639
618,427.926,365.639
619,428.76,365.639
620,429.603,365.639
621,430.032,365.639
622,430.461,365.639
623,430.632,365.639
624,431.323,365.638
625,432.174,365.633
626,433.005,365.623
627,433.825,365.615
628,434.435,365.611
629,434.653,365.61
630,435.497,365.606
631,436.353,365.602
632,437.214,365.599
633,438.074,365.595
634,438.504,365.593
635,438.935,365.591
636,439.792,365.588
637,440.641,365.584
638,441.294,365.581
639,441.481,365.58
640,442.324,365.575
641,443.179,365.57
642,444.036,365.564
643,444.871,365.56
644,445.67,365.555
645,446.441,365.551
646,447.201,365.548
647,447.977,365.548
648,448.785,365.546
649,449.618,365.544
650,450.464,365.542
651,450.937,365.541
652,451.311,365.538
653,452.158,365.531
654,453.004,365.524
655,453.85,365.517
656,454.693,365.514
657,455.539,365.514
658,456.396,365.514
659,457.266,365.514
660,457.668,365.514
661,458.134,365.513
662,458.976,365.51
663,459.776,365.503
664,460.546,365.496
665,461.313,365.49
666,461.622,365.488
667,462.085,365.486
668,462.85,365.481
669,463.606,365.477
670,464.362,365.473
671,465.131,365.469
672,465.911,365.469
673,466.702,365.469
674,467.502,365.469
675,468.217,365.469
676,468.31,365.469
677,469.118,365.453
678,469.548,365.448
679,469.921,365.447
680,470.317,365.446
681,470.713,365.445
682,471.498,365.442
683,472.28,365.44
684,473.058,365.438
685,473.831,365.435
686,474.602,365.433
687,475.378,365.431
688,476.166,365.429
689,476.966,365.427
690,477.771,365.425
691,478.302,365.423
692,478.588,365.422
693,479.421,365.418
694,480.266,365.413
695,481.118,365.409
696,481.967,365.406
697,482.806,365.402
698,483.637,365.399
699,484.465,365.397
700,485.293,365.394
701,486.121,365.392
702,486.951,365.389
703,487.786,365.386
704,488.631,365.382
705,489.135,365.38
706,489.303,365.379
707,489.483,365.378
708,490.338,365.372
709,491.189,365.367
710,492.033,365.363
711,492.862,365.361
712,493.667,365.36
713,494.437,365.359
714,494.452,365.359
715,495.238,365.355
716,496.035,365.351
717,496.831,365.347
718,497.611,365.342
719,498.371,365.339
