ID,Station (ft),WSE 'Max' (feet)
1,0,NaN
2,1.484,NaN
3,2.968,NaN
4,3.145,NaN
5,3.328,NaN
6,3.877,NaN
7,4.076,NaN
8,4.609,NaN
9,4.917,NaN
10,6.019,NaN
11,7.14,NaN
12,7.201,NaN
13,7.364,NaN
14,8.488,NaN
15,9.463,NaN
16,9.966,NaN
17,10.93,NaN
18,11.729,NaN
19,12.527,NaN
20,13.084,NaN
21,13.527,NaN
22,13.537,NaN
23,13.737,369.581
24,14.365,369.581
25,14.792,369.581
26,15.617,369.581
27,15.676,369.581
28,17.091,369.581
29,18.506,369.581
30,19.921,369.581
31,21.336,369.58
32,22.751,369.58
33,24.166,369.58
34,24.898,369.58
35,25.282,369.58
36,25.298,369.58
37,25.313,369.58
38,26.055,369.579
39,27.225,369.579
40,27.945,369.579
41,27.998,369.579
42,28.361,369.578
43,28.807,369.577
44,29.712,369.576
45,30.616,369.574
46,30.84,369.574
47,30.999,369.574
48,31.416,369.573
49,32.086,369.572
50,33.079,369.571
51,34.167,369.569
52,35.255,369.568
53,36.208,369.566
54,36.245,369.566
55,36.397,369.566
56,36.556,369.566
57,36.823,369.565
58,37.143,369.563
59,37.567,369.56
60,37.583,369.56
61,37.631,369.56
62,38.087,369.557
63,39.019,369.553
64,39.896,369.549
65,40.703,369.546
66,41.477,369.544
67,42.283,369.541
68,43.161,369.536
69,44.09,369.527
70,45.021,369.512
71,45.907,369.49
72,46.382,369.475
73,46.723,369.472
74,47.472,369.469
75,48.18,369.447
76,48.877,369.424
77,49.59,369.402
78,50.335,369.379
79,51.113,369.355
80,51.92,369.338
81,52.761,369.33
82,53.632,369.322
83,54.522,369.313
84,55.417,369.304
85,55.617,369.302
86,56.312,369.285
87,57.196,369.264
88,58.062,369.242
89,58.909,369.221
90,59.747,369.2
91,60.583,369.187
92,61.002,369.181
93,61.421,369.174
94,61.844,369.17
95,62.267,369.164
96,63.126,369.152
97,63.565,369.146
98,64.004,369.141
99,64.124,369.139
100,64.455,369.127
101,64.907,369.11
102,65.835,369.077
103,66.796,369.044
104,67.823,369.01
105,68.957,368.995
106,70.182,368.993
107,71.392,368.991
108,71.852,368.991
109,72.482,368.984
110,73.44,368.954
111,74.324,368.919
112,75.195,368.891
113,76.085,368.87
114,76.133,368.869
115,77,368.857
116,77.465,368.851
117,77.93,368.844
118,78.398,368.839
119,78.865,368.832
120,79.798,368.819
121,80.721,368.805
122,81.629,368.791
123,82.112,368.783
124,82.53,368.772
125,83.437,368.748
126,84.358,368.724
127,85.296,368.7
128,86.245,368.676
129,86.72,368.664
130,87.196,368.661
131,87.672,368.655
132,88.147,368.65
133,89.097,368.642
134,90.043,368.633
135,90.981,368.625
136,91.523,368.62
137,91.907,368.609
138,92.817,368.584
139,93.697,368.56
140,94.532,368.536
141,95.325,368.512
142,96.122,368.507
143,97.035,368.507
144,98.2,368.507
145,99.605,368.507
146,99.858,368.507
147,101.021,368.447
148,101.579,368.436
149,101.615,368.435
150,102.213,368.432
151,103.154,368.427
152,103.959,368.422
153,104.728,368.421
154,105.505,368.417
155,106.3,368.415
156,107.105,368.415
157,107.919,368.415
158,108.753,368.415
159,108.911,368.415
160,109.539,368.407
161,109.609,368.405
162,110.467,368.386
163,111.305,368.368
164,112.119,368.35
165,112.919,368.333
166,113.712,368.316
167,114.497,368.305
168,115.267,368.302
169,116.018,368.298
170,116.755,368.296
171,117.492,368.293
172,118.266,368.289
173,118.68,368.287
174,119.137,368.282
175,120.152,368.272
176,121.275,368.261
177,122.373,368.252
178,123.323,368.244
179,124.125,368.241
180,124.856,368.239
181,125.587,368.237
182,126.358,368.234
183,126.787,368.233
184,127.182,368.23
185,128.066,368.213
186,128.226,368.212
187,128.995,368.202
188,129.186,368.199
189,129.947,368.189
190,130.9,368.176
191,131.837,368.173
192,132.748,368.173
193,133.632,368.171
194,133.969,368.17
195,134.507,368.169
196,135.388,368.162
197,136.285,368.148
198,137.197,368.135
199,138.114,368.126
200,138.177,368.125
201,139.032,368.12
202,139.948,368.115
203,140.861,368.11
204,141.773,368.104
205,142.687,368.097
206,143.605,368.091
207,144.524,368.084
208,144.97,368.081
209,145.445,368.072
210,146.366,368.056
211,147.286,368.04
212,148.207,368.024
213,149.128,368.023
214,150.048,368.022
215,150.508,368.022
216,150.969,368.022
217,151.455,368.022
218,151.889,368.021
219,152.81,368.018
220,153.729,368.012
221,154.646,368.003
222,155.558,367.995
223,156.469,367.986
224,156.845,367.982
225,156.879,367.982
226,157.38,367.977
227,157.963,367.97
228,158.291,367.968
229,158.743,367.966
230,159.195,367.963
231,160.084,367.957
232,160.947,367.952
233,161.787,367.947
234,162.618,367.942
235,163.411,367.937
236,163.452,367.937
237,164.292,367.929
238,165.14,367.92
239,166.001,367.911
240,166.881,367.903
241,167.777,367.894
242,168.682,367.89
243,169.59,367.886
244,170.498,367.882
245,171.399,367.878
246,172.023,367.875
247,172.284,367.872
248,173.149,367.863
249,174.009,367.854
250,174.88,367.845
251,175.769,367.836
252,176.669,367.832
253,177.571,367.831
254,178.471,367.83
255,179.36,367.829
256,179.68,367.829
257,180.226,367.824
258,181.057,367.808
259,181.846,367.795
260,182.594,367.785
261,183.309,367.778
262,183.993,367.774
263,184.028,367.774
264,184.65,367.767
265,185.299,367.76
266,185.96,367.753
267,186.646,367.745
268,187.365,367.738
269,188.115,367.735
270,188.883,367.732
271,189.129,367.731
272,189.654,367.728
273,190.369,367.726
274,190.411,367.725
275,191.142,367.72
276,191.853,367.714
277,192.568,367.708
278,193.309,367.702
279,193.699,367.699
280,194.089,367.695
281,194.497,367.692
282,194.906,367.689
283,195.741,367.686
284,196.568,367.683
285,197.38,367.68
286,198.183,367.677
287,198.985,367.674
288,199.086,367.674
289,199.789,367.668
290,200.6,367.66
291,201.426,367.653
292,202.271,367.646
293,203.13,367.639
294,203.993,367.633
295,204.86,367.63
296,205.731,367.628
297,206.607,367.625
298,207.481,367.622
299,208.346,367.62
300,208.765,367.617
301,209.183,367.613
302,209.584,367.61
303,209.985,367.607
304,210.763,367.601
305,211.545,367.595
306,212.35,367.588
307,213.188,367.583
308,214.057,367.579
309,214.941,367.575
310,215.822,367.57
311,216.7,367.566
312,216.964,367.565
313,217.583,367.558
314,218.468,367.548
315,219.341,367.538
316,220.186,367.529
317,220.991,367.521
318,221.758,367.514
319,222.506,367.51
320,223.269,367.505
321,223.669,367.503
322,224.069,367.5
323,224.905,367.495
324,225.756,367.49
325,226.081,367.488
326,226.602,367.483
327,227.416,367.474
328,228.173,367.466
329,228.881,367.458
330,229.001,367.457
331,229.598,367.451
332,230.368,367.442
333,231.184,367.438
334,232.013,367.436
335,232.845,367.434
336,233.689,367.433
337,234.554,367.431
338,235.291,367.429
339,235.437,367.428
340,235.883,367.426
341,236.329,367.423
342,236.778,367.42
343,237.227,367.417
344,238.124,367.411
345,239.022,367.406
346,239.918,367.4
347,240.808,367.396
348,241.688,367.391
349,242.562,367.387
350,243.436,367.383
351,244.281,367.378
352,244.318,367.378
353,245.215,367.368
354,246.125,367.357
355,247.044,367.346
356,247.967,367.336
357,248.89,367.327
358,249.35,367.324
359,249.81,367.321
360,250.27,367.318
361,250.73,367.315
362,251.652,367.31
363,252.571,367.304
364,252.796,367.302
365,253.479,367.294
366,254.372,367.283
367,255.256,367.272
368,256.135,367.261
369,257.003,367.25
370,257.429,367.245
371,257.856,367.24
372,258.278,367.237
373,258.7,367.233
374,259.534,367.225
375,260.36,367.217
376,261.175,367.209
377,261.983,367.201
378,262.22,367.199
379,262.787,367.179
380,263.591,367.15
381,264.393,367.122
382,265.191,367.101
383,265.986,367.101
384,266.784,367.101
385,267.599,367.101
386,267.762,367.101
387,268.469,367.099
388,269.454,367.093
389,270.554,367.08
390,271.645,367.063
391,272.591,367.048
392,273.38,367.038
393,274.102,367.029
394,274.134,367.029
395,274.831,367.013
396,275.577,366.997
397,276.344,366.981
398,277.147,366.966
399,277.989,366.954
400,278.856,366.943
401,279.734,366.933
402,280.615,366.922
403,281.492,366.91
404,282.377,366.891
405,283.327,366.866
406,283.833,366.85
407,284.431,366.833
408,285.55,366.821
409,285.676,366.821
410,286.907,366.814
411,287.983,366.806
412,288.913,366.798
413,289.777,366.789
414,290.625,366.777
415,291.221,366.766
416,291.472,366.762
417,292.159,366.75
418,292.32,366.747
419,293.16,366.733
420,293.986,366.719
421,294.805,366.707
422,295.153,366.703
423,295.629,366.698
424,296.464,366.689
425,296.886,366.684
426,297.309,366.679
427,297.732,366.675
428,298.155,366.671
429,298.181,366.67
430,298.576,366.664
431,298.997,366.658
432,299.414,366.652
433,299.832,366.646
434,300.655,366.633
435,301.472,366.621
436,302.288,366.609
437,303.107,366.602
438,303.918,366.596
439,304.706,366.591
440,305.45,366.586
441,306.133,366.582
442,306.772,366.578
443,306.798,366.578
444,307.418,366.565
445,308.122,366.552
446,308.898,366.536
447,309.728,366.519
448,310.583,366.508
449,311.446,366.504
450,312.314,366.5
451,313.192,366.497
452,313.696,366.494
453,314.079,366.493
454,314.966,366.486
455,315.843,366.474
456,316.709,366.462
457,317.569,366.45
458,318.429,366.437
459,319.297,366.422
460,319.877,366.411
461,320.176,366.409
462,321.063,366.403
463,321.948,366.396
464,322.384,366.393
465,322.82,366.39
466,323.676,366.384
467,324.525,366.378
468,324.951,366.375
469,325.151,366.374
470,325.377,366.371
471,325.804,366.365
472,326.231,366.359
473,327.068,366.348
474,327.86,366.339
475,328.605,366.33
476,329.327,366.324
477,329.689,366.324
478,330.052,366.324
479,330.42,366.324
480,330.789,366.324
481,331.544,366.323
482,332.236,366.323
483,332.323,366.323
484,333.129,366.316
485,333.944,366.305
486,334.751,366.297
487,335.548,366.292
488,336.074,366.288
489,336.341,366.287
490,337.133,366.283
491,337.922,366.278
492,338.709,366.274
493,339.496,366.27
494,340.298,366.267
495,341.127,366.264
496,341.982,366.261
497,342.415,366.26
498,342.847,366.258
499,343.095,366.257
500,343.712,366.253
501,344.567,366.247
502,344.987,366.244
503,345.407,366.241
504,346.235,366.235
505,347.06,366.229
506,347.89,366.225
507,348.729,366.222
508,349.573,366.219
509,350.412,366.216
510,351.222,366.214
511,351.984,366.211
512,352.108,366.21
513,352.35,366.209
514,352.715,366.206
515,353.469,366.199
516,354.292,366.192
517,355.181,366.185
518,356.099,366.177
519,357.015,366.172
520,357.919,366.169
521,358.82,366.167
522,359.725,366.164
523,360.638,366.162
524,361.079,366.161
525,361.554,366.156
526,362.462,366.146
527,363.359,366.136
528,364.247,366.128
529,364.688,366.126
530,365.129,366.125
531,366.002,366.125
532,366.431,366.125
533,366.861,366.125
534,367.284,366.125
535,367.707,366.125
536,368.553,366.123
537,369.401,366.116
538,370.25,366.105
539,371.094,366.095
540,371.918,366.087
541,372.7,366.08
542,372.76,366.08
543,373.431,366.072
544,374.128,366.064
545,374.83,366.055
546,375.568,366.046
547,376.345,366.039
548,377.147,366.035
549,377.952,366.032
550,378.758,366.028
551,379.044,366.026
552,379.166,366.024
553,379.574,366.018
554,380.406,366.005
555,381.249,365.992
556,382.097,365.982
557,382.946,365.982
558,383.797,365.982
559,384.656,365.982
560,384.699,365.982
561,385.53,365.979
562,386.422,365.971
563,387.326,365.961
564,388.236,365.951
565,389.147,365.942
566,390.057,365.933
567,390.966,365.921
568,391.233,365.916
569,391.874,365.909
570,392.781,365.898
571,393.236,365.893
572,393.691,365.891
573,394.602,365.891
574,395.509,365.89
575,395.56,365.89
576,396.405,365.886
577,397.286,365.872
578,398.155,365.86
579,399.025,365.854
580,399.619,365.852
581,399.904,365.85
582,400.788,365.846
583,401.667,365.842
584,402.536,365.837
585,403.4,365.834
586,404.273,365.832
587,405.184,365.829
588,406.057,365.827
589,406.17,365.826
590,407.236,365.821
591,408.326,365.815
592,409.375,365.811
593,410.365,365.806
594,411.318,365.802
595,412.248,365.799
596,413.154,365.796
597,414.036,365.793
598,414.566,365.791
599,414.908,365.785
600,415.346,365.784
601,415.586,365.786
602,415.785,365.784
603,416.667,365.776
604,417.551,365.769
605,418.432,365.761
606,419.304,365.754
607,419.729,365.75
608,420.166,365.749
609,421.023,365.746
610,421.885,365.744
611,422.753,365.741
612,423.623,365.739
613,423.964,365.738
614,424.493,365.733
615,425.362,365.726
616,426.229,365.719
617,427.084,365.71
618,427.926,365.709
619,428.76,365.709
620,429.603,365.709
621,430.032,365.709
622,430.461,365.709
623,430.632,365.709
624,431.323,365.708
625,432.174,365.703
626,433.005,365.694
627,433.825,365.686
628,434.435,365.682
629,434.653,365.681
630,435.497,365.678
631,436.353,365.674
632,437.214,365.67
633,438.074,365.666
634,438.504,365.665
635,438.935,365.663
636,439.792,365.659
637,440.641,365.656
638,441.294,365.653
639,441.481,365.652
640,442.324,365.647
641,443.179,365.642
642,444.036,365.637
643,444.871,365.632
644,445.67,365.628
645,446.441,365.624
646,447.201,365.621
647,447.977,365.621
648,448.785,365.619
649,449.618,365.617
650,450.464,365.615
651,450.937,365.614
652,451.311,365.611
653,452.158,365.605
654,453.004,365.598
655,453.85,365.591
656,454.693,365.588
657,455.539,365.588
658,456.396,365.588
659,457.266,365.588
660,457.668,365.588
661,458.134,365.587
662,458.976,365.584
663,459.776,365.578
664,460.546,365.571
665,461.313,365.565
666,461.622,365.563
667,462.085,365.56
668,462.85,365.556
669,463.606,365.552
670,464.362,365.549
671,465.131,365.544
672,465.911,365.544
673,466.702,365.544
674,467.502,365.544
675,468.217,365.544
676,468.31,365.544
677,469.118,365.529
678,469.548,365.524
679,469.921,365.523
680,470.317,365.522
681,470.713,365.521
682,471.498,365.519
683,472.28,365.516
684,473.058,365.514
685,473.831,365.512
686,474.602,365.51
687,475.378,365.508
688,476.166,365.506
689,476.966,365.504
690,477.771,365.502
691,478.302,365.5
692,478.588,365.499
693,479.421,365.495
694,480.266,365.491
695,481.118,365.487
696,481.967,365.483
697,482.806,365.48
698,483.637,365.477
699,484.465,365.475
700,485.293,365.472
701,486.121,365.47
702,486.951,365.467
703,487.786,365.464
704,488.631,365.461
705,489.135,365.459
706,489.303,365.457
707,489.483,365.456
708,490.338,365.451
709,491.189,365.446
710,492.033,365.442
711,492.862,365.44
712,493.667,365.439
713,494.437,365.438
714,494.452,365.438
715,495.238,365.434
716,496.035,365.43
717,496.831,365.426
718,497.611,365.422
