series,cross section,peak flow date,hwm_elevation,slope
channel,B,2019-02-13,355.72,0.012
channel,D,2019-02-13,353.36,0.005
channel,E,2019-02-13,351.76,0.003
channel,F,2022-11-11,346.37,0.003
channel,G,2022-11-11,344.31,0.003
channel,H,2019-02-13,343.2,0.003
floodplain,B,2022-12-31,364.86,0.0076
floodplain,D,2022-12-31,361.187,0.0019
floodplain,E,2022-12-31,356.135,0.0056
floodplain,E,2023-01-14,356.961,0.0063
floodplain,F,2022-12-31,353.455,0.0073
floodplain,F,2023-01-14,353.848,0.0075
floodplain,G,2022-12-31,350.06,0.008
floodplain,G,2023-01-14,350.566,0.0077
floodplain,H,2022-12-31,347.022,0.0023
floodplain,H,2023-01-14,347.393,0.0019
