result_datetime,cfs
2022-12-31T00:00:00Z,100
2022-12-31T00:15:00Z,100
2022-12-31T00:30:00Z,100
2022-12-31T00:45:00Z,100
2022-12-31T01:00:00Z,100
2022-12-31T01:15:00Z,100
2022-12-31T01:30:00Z,100
2022-12-31T01:45:00Z,100
2022-12-31T02:00:00Z,100
2022-12-31T02:15:00Z,100
2022-12-31T02:30:00Z,100
2022-12-31T02:45:00Z,100
2022-12-31T03:00:00Z,100
2022-12-31T03:15:00Z,100
2022-12-31T03:30:00Z,100
2022-12-31T03:45:00Z,100
2022-12-31T04:00:00Z,100
2022-12-31T04:15:00Z,100
2022-12-31T04:30:00Z,100
2022-12-31T04:45:00Z,100
2022-12-31T05:00:00Z,100
2022-12-31T05:15:00Z,100
2022-12-31T05:30:00Z,106
2022-12-31T05:45:00Z,135
2022-12-31T06:00:00Z,181.3
2022-12-31T06:15:00Z,232.1
2022-12-31T06:30:00Z,263.7
2022-12-31T06:45:00Z,273.7
2022-12-31T07:00:00Z,305.3
2022-12-31T07:15:00Z,336.2
2022-12-31T07:30:00Z,380.9
2022-12-31T07:45:00Z,420.9
2022-12-31T08:00:00Z,481.8
2022-12-31T08:15:00Z,539.7
2022-12-31T08:30:00Z,642.6
2022-12-31T08:45:00Z,904.7
2022-12-31T09:00:00Z,1141.2
2022-12-31T09:15:00Z,1356.1
2022-12-31T09:30:00Z,1485.6283326755834
2022-12-31T09:45:00Z,1564.3586783740657
2022-12-31T10:00:00Z,1674.7584619268857
2022-12-31T10:15:00Z,1746.3140270480617
2022-12-31T10:30:00Z,1830.1188436922575
2022-12-31T10:45:00Z,1860.3367743904967
2022-12-31T11:00:00Z,1860.3367743904967
2022-12-31T11:15:00Z,1874.6164960207834
2022-12-31T11:30:00Z,1858.554483376504
2022-12-31T11:45:00Z,1912.881149452279
2022-12-31T12:00:00Z,1941.1527505488957
2022-12-31T12:15:00Z,1984.74164973478
2022-12-31T12:30:00Z,2056.9042661706158
2022-12-31T12:45:00Z,2092.7017387663027
2022-12-31T13:00:00Z,2189.4168010831045
2022-12-31T13:15:00Z,2299.7863250312193
2022-12-31T13:30:00Z,2399.684574988258
2022-12-31T13:45:00Z,2464.916023866868
2022-12-31T14:00:00Z,2586.523347657009
2022-12-31T14:15:00Z,2582.525808301689
2022-12-31T14:30:00Z,2662.884354350066
2022-12-31T14:45:00Z,2769.9899110087313
2022-12-31T15:00:00Z,2888.246962350339
2022-12-31T15:15:00Z,3121.329039743823
2022-12-31T15:30:00Z,3295.1564811361927
2022-12-31T15:45:00Z,3346.7749882222
2022-12-31T16:00:00Z,3257.528928391459
2022-12-31T16:15:00Z,3235.8892473582246
2022-12-31T16:30:00Z,3052.579708236602
2022-12-31T16:45:00Z,2857.831499979275
2022-12-31T17:00:00Z,2704.73775617757
