Result Date,Result Time,GHBubbler(ft),GHProbe(ft),WaterTemp(C),RainInterval(in),RainDayPST(in),RainWY(in),Battery,Streamflow(cfs)
12/29/2022,12:00:00 AM,-0.208,-0.205,8.6,0,0,6.648,13.05,0
12/29/2022,12:15:00 AM,-0.205,-0.205,8.6,0,0,6.648,13.01,0
12/29/2022,12:30:00 AM,-0.205,-0.205,8.6,0,0,6.648,13.01,0
12/29/2022,12:45:00 AM,-0.205,-0.206,8.6,0,0,6.648,13.05,0
12/29/2022,1:00:00 AM,-0.208,-0.205,8.6,0,0,6.648,12.99,0
12/29/2022,1:15:00 AM,-0.208,-0.206,8.6,0.009,0.009,6.657,13,0
12/29/2022,1:30:00 AM,-0.205,-0.205,8.6,0,0.009,6.657,13.04,0
12/29/2022,1:45:00 AM,-0.205,-0.205,8.6,0,0.009,6.657,13.01,0
12/29/2022,2:00:00 AM,-0.205,-0.205,8.6,0,0.009,6.657,12.99,0
12/29/2022,2:15:00 AM,-0.205,-0.206,8.6,0,0.009,6.657,13,0
12/29/2022,2:30:00 AM,-0.205,-0.206,8.6,0,0.009,6.657,13.01,0
12/29/2022,2:45:00 AM,-0.205,-0.207,8.6,0.009,0.018,6.667,12.98,0
12/29/2022,3:00:00 AM,-0.205,-0.205,8.6,0.018,0.037,6.686,12.98,0
12/29/2022,3:15:00 AM,-0.205,-0.204,8.6,0.028,0.066,6.714,13.04,0
12/29/2022,3:30:00 AM,-0.205,-0.206,8.6,0.018,0.084,6.733,13,0
12/29/2022,3:45:00 AM,-0.205,-0.206,8.6,0.009,0.094,6.742,13.05,0
12/29/2022,4:00:00 AM,-0.205,-0.206,8.6,0,0.094,6.742,12.96,0
12/29/2022,4:15:00 AM,-0.205,-0.207,8.6,0.009,0.103,6.752,12.98,0
12/29/2022,4:30:00 AM,-0.205,-0.205,8.7,0.009,0.113,6.761,12.98,0
12/29/2022,4:45:00 AM,-0.208,-0.206,8.6,0,0.113,6.761,12.95,0
12/29/2022,5:00:00 AM,-0.205,-0.205,8.6,0,0.113,6.761,12.98,0
12/29/2022,5:15:00 AM,-0.205,-0.208,9.1,0,0.113,6.761,12.95,0
12/29/2022,5:30:00 AM,-0.148,-0.152,9.8,0,0.113,6.761,12.94,0
