ID,Station (ft),WSE 'Max' (feet)
1,0,NaN
2,1.484,NaN
3,2.968,NaN
4,3.145,NaN
5,3.328,NaN
6,3.877,NaN
7,4.076,NaN
8,4.609,NaN
9,4.917,NaN
10,6.019,NaN
11,7.14,NaN
12,7.201,NaN
13,7.364,NaN
14,8.488,NaN
15,9.463,NaN
16,9.966,NaN
17,10.93,NaN
18,11.729,NaN
19,12.527,NaN
20,13.084,NaN
21,13.527,NaN
22,13.537,NaN
23,13.737,367.774
24,14.365,367.774
25,14.792,367.774
26,15.617,367.774
27,15.676,367.774
28,17.091,367.774
29,18.506,367.774
30,19.921,367.774
31,21.336,367.774
32,22.751,367.773
33,24.166,367.773
34,24.898,367.773
35,25.282,367.773
36,25.298,367.773
37,25.313,367.773
38,26.055,367.773
39,27.225,367.773
40,27.945,367.772
41,27.998,367.772
42,28.361,367.772
43,28.807,367.771
44,29.712,367.77
45,30.616,367.769
46,30.84,367.768
47,30.999,367.768
48,31.416,367.768
49,32.086,367.767
50,33.079,367.766
51,34.167,367.765
52,35.255,367.763
53,36.208,367.762
54,36.245,367.762
55,36.397,367.761
56,36.556,367.761
57,36.823,367.761
58,37.143,367.759
59,37.567,367.757
60,37.583,367.756
61,37.631,367.756
62,38.087,367.754
63,39.019,367.75
64,39.896,367.747
65,40.703,367.744
66,41.477,367.742
67,42.283,367.74
68,43.161,367.736
69,44.09,367.728
70,45.021,367.714
71,45.907,367.695
72,46.382,367.681
73,46.723,367.679
74,47.472,367.676
75,48.18,367.656
76,48.877,367.636
77,49.59,367.616
78,50.335,367.595
79,51.113,367.574
80,51.92,367.559
81,52.761,367.552
82,53.632,367.544
83,54.522,367.536
84,55.417,367.528
85,55.617,367.526
86,56.312,367.511
87,57.196,367.491
88,58.062,367.471
89,58.909,367.452
90,59.747,367.433
91,60.583,367.421
92,61.002,367.416
93,61.421,367.409
94,61.844,367.405
95,62.267,367.4
96,63.126,367.389
97,63.565,367.384
98,64.004,367.378
99,64.124,367.377
100,64.455,367.366
101,64.907,367.35
102,65.835,367.32
103,66.796,367.289
104,67.823,367.257
105,68.957,367.244
106,70.182,367.241
107,71.392,367.239
108,71.852,367.239
109,72.482,367.232
110,73.44,367.204
111,74.324,367.17
112,75.195,367.143
113,76.085,367.123
114,76.133,367.122
115,77,367.11
116,77.465,367.104
117,77.93,367.098
118,78.398,367.092
119,78.865,367.086
120,79.798,367.073
121,80.721,367.059
122,81.629,367.046
123,82.112,367.038
124,82.53,367.028
125,83.437,367.004
126,84.358,366.981
127,85.296,366.958
128,86.245,366.935
129,86.72,366.924
130,87.196,366.92
131,87.672,366.914
132,88.147,366.91
133,89.097,366.902
134,90.043,366.894
135,90.981,366.885
136,91.523,366.88
137,91.907,366.87
138,92.817,366.846
139,93.697,366.821
140,94.532,366.798
141,95.325,366.775
142,96.122,366.77
143,97.035,366.77
144,98.2,366.77
145,99.605,366.77
146,99.858,366.769
147,101.021,366.713
148,101.579,366.701
149,101.615,366.701
150,102.213,366.697
151,103.154,366.692
152,103.959,366.686
153,104.728,366.684
154,105.505,366.68
155,106.3,366.679
156,107.105,366.679
157,107.919,366.678
158,108.753,366.678
159,108.911,366.678
160,109.539,366.671
161,109.609,366.669
162,110.467,366.65
163,111.305,366.631
164,112.119,366.613
165,112.919,366.595
166,113.712,366.578
167,114.497,366.566
168,115.267,366.563
169,116.018,366.56
170,116.755,366.558
171,117.492,366.554
172,118.266,366.55
173,118.68,366.548
174,119.137,366.543
175,120.152,366.533
176,121.275,366.522
177,122.373,366.512
178,123.323,366.505
179,124.125,366.502
180,124.856,366.5
181,125.587,366.498
182,126.358,366.496
183,126.787,366.495
184,127.182,366.491
185,128.066,366.474
186,128.226,366.472
187,128.995,366.462
188,129.186,366.46
189,129.947,366.45
190,130.9,366.437
191,131.837,366.434
192,132.748,366.433
193,133.632,366.431
194,133.969,366.43
195,134.507,366.428
196,135.388,366.421
197,136.285,366.408
198,137.197,366.394
199,138.114,366.385
200,138.177,366.384
201,139.032,366.378
202,139.948,366.372
203,140.861,366.366
204,141.773,366.36
205,142.687,366.354
206,143.605,366.347
207,144.524,366.34
208,144.97,366.337
209,145.445,366.328
210,146.366,366.311
211,147.286,366.295
212,148.207,366.278
213,149.128,366.277
214,150.048,366.276
215,150.508,366.275
216,150.969,366.274
217,151.455,366.274
218,151.889,366.273
219,152.81,366.269
220,153.729,366.262
221,154.646,366.253
222,155.558,366.244
223,156.469,366.235
224,156.845,366.23
225,156.879,366.23
226,157.38,366.224
227,157.963,366.217
228,158.291,366.215
229,158.743,366.212
230,159.195,366.208
231,160.084,366.202
232,160.947,366.196
233,161.787,366.191
234,162.618,366.185
235,163.411,366.18
236,163.452,366.18
237,164.292,366.17
238,165.14,366.161
239,166.001,366.151
240,166.881,366.141
241,167.777,366.132
242,168.682,366.127
243,169.59,366.123
244,170.498,366.119
245,171.399,366.114
246,172.023,366.112
247,172.284,366.108
248,173.149,366.098
249,174.009,366.089
250,174.88,366.079
251,175.769,366.07
252,176.669,366.065
253,177.571,366.064
254,178.471,366.063
255,179.36,366.062
256,179.68,366.062
257,180.226,366.057
258,181.057,366.041
259,181.846,366.027
260,182.594,366.017
261,183.309,366.01
262,183.993,366.005
263,184.028,366.005
264,184.65,365.999
265,185.299,365.992
266,185.96,365.985
267,186.646,365.977
268,187.365,365.97
269,188.115,365.967
270,188.883,365.963
271,189.129,365.962
272,189.654,365.96
273,190.369,365.957
274,190.411,365.957
275,191.142,365.951
276,191.853,365.946
277,192.568,365.94
278,193.309,365.934
279,193.699,365.93
280,194.089,365.927
281,194.497,365.924
282,194.906,365.921
283,195.741,365.918
284,196.568,365.915
285,197.38,365.912
286,198.183,365.909
287,198.985,365.906
288,199.086,365.906
289,199.789,365.899
290,200.6,365.892
291,201.426,365.885
292,202.271,365.878
293,203.13,365.87
294,203.993,365.864
295,204.86,365.862
296,205.731,365.859
297,206.607,365.857
298,207.481,365.854
299,208.346,365.851
300,208.765,365.848
301,209.183,365.844
302,209.584,365.841
303,209.985,365.838
304,210.763,365.832
305,211.545,365.825
306,212.35,365.819
307,213.188,365.814
308,214.057,365.809
309,214.941,365.805
310,215.822,365.8
311,216.7,365.795
312,216.964,365.794
313,217.583,365.787
314,218.468,365.776
315,219.341,365.766
316,220.186,365.757
317,220.991,365.748
318,221.758,365.741
319,222.506,365.736
320,223.269,365.73
321,223.669,365.728
322,224.069,365.726
323,224.905,365.72
324,225.756,365.715
325,226.081,365.713
326,226.602,365.707
327,227.416,365.698
328,228.173,365.689
329,228.881,365.681
330,229.001,365.68
331,229.598,365.673
332,230.368,365.664
333,231.184,365.66
334,232.013,365.658
335,232.845,365.656
336,233.689,365.654
337,234.554,365.652
338,235.291,365.65
339,235.437,365.649
340,235.883,365.646
341,236.329,365.643
342,236.778,365.64
343,237.227,365.637
344,238.124,365.631
345,239.022,365.625
346,239.918,365.619
347,240.808,365.614
348,241.688,365.61
349,242.562,365.605
350,243.436,365.6
351,244.281,365.595
352,244.318,365.595
353,245.215,365.584
354,246.125,365.572
355,247.044,365.561
356,247.967,365.549
357,248.89,365.539
358,249.35,365.536
359,249.81,365.533
360,250.27,365.53
361,250.73,365.527
362,251.652,365.521
363,252.571,365.515
364,252.796,365.513
365,253.479,365.504
366,254.372,365.493
367,255.256,365.481
368,256.135,365.469
369,257.003,365.458
370,257.429,365.452
371,257.856,365.448
372,258.278,365.444
373,258.7,365.44
374,259.534,365.431
375,260.36,365.423
376,261.175,365.415
377,261.983,365.407
378,262.22,365.405
379,262.787,365.384
380,263.591,365.355
381,264.393,365.325
382,265.191,365.304
383,265.986,365.304
384,266.784,365.304
385,267.599,365.304
386,267.762,365.304
387,268.469,365.302
388,269.454,365.296
389,270.554,365.283
390,271.645,365.266
391,272.591,365.251
392,273.38,365.241
393,274.102,365.233
394,274.134,365.233
395,274.831,365.218
396,275.577,365.202
397,276.344,365.187
398,277.147,365.173
399,277.989,365.161
400,278.856,365.151
401,279.734,365.141
402,280.615,365.131
403,281.492,365.119
404,282.377,365.101
405,283.327,365.077
406,283.833,365.062
407,284.431,365.046
408,285.55,365.035
409,285.676,365.035
410,286.907,365.029
411,287.983,365.022
412,288.913,365.013
413,289.777,365.005
414,290.625,364.994
415,291.221,364.984
416,291.472,364.98
417,292.159,364.969
418,292.32,364.966
419,293.16,364.953
420,293.986,364.94
421,294.805,364.929
422,295.153,364.925
423,295.629,364.92
424,296.464,364.912
425,296.886,364.908
426,297.309,364.903
427,297.732,364.899
428,298.155,364.895
429,298.181,364.895
430,298.576,364.889
431,298.997,364.883
432,299.414,364.877
433,299.832,364.871
434,300.655,364.86
435,301.472,364.848
436,302.288,364.837
437,303.107,364.83
438,303.918,364.825
439,304.706,364.82
440,305.45,364.816
441,306.133,364.812
442,306.772,364.808
443,306.798,364.807
444,307.418,364.796
445,308.122,364.782
446,308.898,364.767
447,309.728,364.751
448,310.583,364.74
449,311.446,364.737
450,312.314,364.733
451,313.192,364.73
452,313.696,364.728
453,314.079,364.727
454,314.966,364.72
455,315.843,364.709
456,316.709,364.696
457,317.569,364.684
458,318.429,364.67
459,319.297,364.656
460,319.877,364.645
461,320.176,364.643
462,321.063,364.637
463,321.948,364.631
464,322.384,364.628
465,322.82,364.624
466,323.676,364.618
467,324.525,364.612
468,324.951,364.61
469,325.151,364.608
470,325.377,364.605
471,325.804,364.599
472,326.231,364.594
473,327.068,364.583
474,327.86,364.573
475,328.605,364.564
476,329.327,364.559
477,329.689,364.558
478,330.052,364.558
479,330.42,364.558
480,330.789,364.558
481,331.544,364.558
482,332.236,364.558
483,332.323,364.557
484,333.129,364.55
485,333.944,364.539
486,334.751,364.531
487,335.548,364.525
488,336.074,364.522
489,336.341,364.52
490,337.133,364.516
491,337.922,364.512
492,338.709,364.508
493,339.496,364.504
494,340.298,364.501
495,341.127,364.498
496,341.982,364.495
497,342.415,364.494
498,342.847,364.492
499,343.095,364.491
500,343.712,364.487
501,344.567,364.481
502,344.987,364.478
503,345.407,364.475
504,346.235,364.47
505,347.06,364.464
506,347.89,364.459
507,348.729,364.457
508,349.573,364.454
509,350.412,364.451
510,351.222,364.449
511,351.984,364.446
512,352.108,364.446
513,352.35,364.444
514,352.715,364.441
515,353.469,364.435
516,354.292,364.428
517,355.181,364.421
518,356.099,364.413
519,357.015,364.408
520,357.919,364.406
521,358.82,364.404
522,359.725,364.401
523,360.638,364.399
524,361.079,364.398
525,361.554,364.393
526,362.462,364.384
527,363.359,364.374
528,364.247,364.366
529,364.688,364.364
530,365.129,364.364
531,366.002,364.364
532,366.431,364.364
533,366.861,364.364
534,367.284,364.364
535,367.707,364.364
536,368.553,364.362
537,369.401,364.355
538,370.25,364.344
539,371.094,364.334
540,371.918,364.327
541,372.7,364.321
542,372.76,364.32
543,373.431,364.313
544,374.128,364.305
545,374.83,364.297
546,375.568,364.289
547,376.345,364.282
548,377.147,364.278
549,377.952,364.275
550,378.758,364.271
551,379.044,364.27
552,379.166,364.268
553,379.574,364.262
554,380.406,364.249
555,381.249,364.237
556,382.097,364.227
557,382.946,364.227
558,383.797,364.227
559,384.656,364.227
560,384.699,364.227
561,385.53,364.225
562,386.422,364.217
563,387.326,364.207
564,388.236,364.197
565,389.147,364.189
566,390.057,364.18
567,390.966,364.168
568,391.233,364.163
569,391.874,364.156
570,392.781,364.146
571,393.236,364.141
572,393.691,364.139
573,394.602,364.139
574,395.509,364.138
575,395.56,364.138
576,396.405,364.134
577,397.286,364.121
578,398.155,364.109
579,399.025,364.102
580,399.619,364.1
581,399.904,364.099
582,400.788,364.095
583,401.667,364.09
584,402.536,364.086
585,403.4,364.083
586,404.273,364.081
587,405.184,364.078
588,406.057,364.076
589,406.17,364.076
590,407.236,364.07
591,408.326,364.065
592,409.375,364.061
593,410.365,364.056
594,411.318,364.053
595,412.248,364.05
596,413.154,364.047
597,414.036,364.044
598,414.566,364.043
599,414.908,364.037
600,415.346,364.036
601,415.586,364.037
602,415.785,364.036
603,416.667,364.029
604,417.551,364.022
605,418.432,364.015
606,419.304,364.008
607,419.729,364.005
608,420.166,364.004
609,421.023,364.002
610,421.885,363.999
611,422.753,363.997
612,423.623,363.995
613,423.964,363.994
614,424.493,363.99
615,425.362,363.983
616,426.229,363.976
617,427.084,363.968
618,427.926,363.967
619,428.76,363.967
620,429.603,363.967
621,430.032,363.967
622,430.461,363.967
623,430.632,363.967
624,431.323,363.966
625,432.174,363.962
626,433.005,363.953
627,433.825,363.946
628,434.435,363.943
629,434.653,363.942
630,435.497,363.938
631,436.353,363.934
632,437.214,363.931
633,438.074,363.927
634,438.504,363.926
635,438.935,363.924
636,439.792,363.921
637,440.641,363.918
638,441.294,363.915
639,441.481,363.914
640,442.324,363.909
641,443.179,363.904
642,444.036,363.9
643,444.871,363.895
644,445.67,363.891
645,446.441,363.888
646,447.201,363.885
647,447.977,363.885
648,448.785,363.883
649,449.618,363.881
650,450.464,363.88
651,450.937,363.879
652,451.311,363.876
653,452.158,363.87
654,453.004,363.864
655,453.85,363.857
656,454.693,363.854
657,455.539,363.854
658,456.396,363.854
659,457.266,363.854
660,457.668,363.854
661,458.134,363.853
662,458.976,363.85
663,459.776,363.844
664,460.546,363.838
665,461.313,363.833
666,461.622,363.83
667,462.085,363.828
668,462.85,363.824
669,463.606,363.82
670,464.362,363.816
671,465.131,363.812
672,465.911,363.812
673,466.702,363.812
674,467.502,363.812
675,468.217,363.812
676,468.31,363.812
677,469.118,363.798
678,469.548,363.793
679,469.921,363.792
680,470.317,363.791
681,470.713,363.79
682,471.498,363.788
683,472.28,363.785
684,473.058,363.784
685,473.831,363.781
686,474.602,363.779
687,475.378,363.777
688,476.166,363.776
689,476.966,363.774
690,477.771,363.772
691,478.302,363.771
692,478.588,363.769
693,479.421,363.765
694,480.266,363.761
695,481.118,363.758
696,481.967,363.754
697,482.806,363.751
698,483.637,363.749
699,484.465,363.746
700,485.293,363.744
701,486.121,363.742
702,486.951,363.739
703,487.786,363.736
704,488.631,363.733
705,489.135,363.731
706,489.303,363.73
707,489.483,363.729
708,490.338,363.724
709,491.189,363.719
710,492.033,363.716
711,492.862,363.714
712,493.667,363.713
713,494.437,363.712
714,494.452,363.712
715,495.238,363.709
716,496.035,363.705
717,496.831,363.702
718,497.611,363.698
