station_left_bank_ft,elevation_ngvd29_ft
235.5,371.11
235,371.15
232,370.66
227,370.45
222,370.06
219,369.47
217,369.1
214,368.46
210.9,367.63
207,366.62
204,365.95
201,365.12
196.4,364.05
191.8,363.17
188,362.58
183.2,361.77
178.5,360.99
176,360.45
175,360.39
170.3,359.99
170,359.88
164.7,358.89
159.6,358.94
155.1,359.82
149,358.69
143.6,359.45
139.7,359.08
137.9,357.97
135.7,357.35
132.8,356.43
128.6,355.77
126,354.49
123,354.13
120.8,352.67
120,352.45
118.8,352.24
117.7,352.04
117,352.05
115.4,351.66
114,351.58
112.2,351.84
110.8,352
109,352.02
108,352.57
106,353.41
104.6,354.99
103.1,355.88
101.1,356.1
99,357.18
97.3,358.78
95,359.56
92.5,360.26
89.7,361.26
87.6,361.89
85,361.94
82.8,361.74
80.3,361.77
78.4,361.79
75.6,361.53
72.7,361.44
70.6,361.94
68.4,362.62
66,363.49
64,364.11
61.9,365.95
59,366.07
55.9,367.1
52,368.62
48,369.17
45.1,369.48
41,369.78
37.4,369.98
32,370.05
27.3,369.7
