station_left_bank_ft,elevation_ngvd29_ft
27.5,369.7
39,369.78
50,369.06
52,368.74
55,367.59
59,366.13
62,364.9
64,364.12
65.5,363.62
67.5,363.13
69.5,362.94
71.5,363.28
74.5,363.2
77,362.95
79,363.43
81,363.05
83,363.41
86,363.59
87.5,363.63
89.5,362.58
92,361.3
96.5,359.22
100,357.14
102.5,356.44
103.5,355.28
104.5,354.48
107,353.63
109.5,352.68
111,352.43
114,351.56
115,351.38
117,351.36
119,352.24
121,352.61
122,353.32
122.5,353.76
123.5,354.08
126,354.94
129,355.84
132,356.33
134,356.6
137,357.74
139,358.59
141,359.28
143.5,359.18
146,358.98
147,358.5
149,358.59
150.5,359.09
153,359.59
155,359.21
157,359.16
159,358.97
165,359.1
168.5,360.38
170,360.12
175,360.83
179,361.65
179.5,361.71
182,362.17
185,362.43
190,363.21
193,363.71
195,363.94
200.5,364.96
205,366.28
213,368.24
221,369.92
227,370.49
237,371.16
