station_left_bank_ft,elevation_ngvd29_ft
246.1,366.51
242,366.21
240.1,365.53
238.9,365.07
237.3,364.54
235.3,363.88
233.9,363.25
232,362.45
230.3,361.83
229,361.09
226,360.28
223,359.26
220.5,358.19
218,357.08
214.3,356.37
210.3,356.24
206.5,356.13
203.8,357.03
202.2,357.37
200.6,356.75
199.5,356
197.9,355.75
194.6,355.77
191.4,355.98
187.3,357.15
184.7,357.59
181.8,357.72
179.5,357.44
176.3,357.44
175.3,356.99
170.5,352.23
168.6,351.29
166.2,347.97
162.3,347.95
160.9,347.87
160,347.85
159.7,348.31
158.7,349.73
157.3,350.1
157,351.43
155.8,352.43
154.6,354.11
153,355.57
151,356.15
150,356.38
146,356.61
143,357.17
140,357.33
136.2,357.22
134.3,357.1
132.3,356.92
131.2,356.71
129.7,356.39
128.6,356.33
127.8,356.54
126.8,356.75
125.5,356.77
123.9,356.83
122.4,356.72
121.8,356.34
120.5,356.09
118.8,356.16
117.4,356.24
115.5,356.39
113.3,356.71
111.7,357.3
109.8,357.3
107.9,357.75
106.4,357.91
104.2,358.46
102.2,358.09
101,357.61
99.6,356.91
98.3,356.57
97.3,356.24
93.4,355.69
90,355.67
86,355.57
81.8,355.4
74.5,355.66
70.5,356.94
68.5,357.77
65.3,358.35
62.7,358.49
59.9,359.31
40,364.88
