station_left_bank_ft,elevation_ngvd29_ft
40,365.05
42,365.1
48,363.3
55,361.04
59,360.22
62,359.18
64,359.79
67,358.32
72,357.56
73.5,356.74
78,356.92
80,356.22
81,356.13
83,355.76
86,356.01
90,355.88
93,356.46
97,358
99,358.01
101,358.64
104,359.23
108,359.07
110,358.02
113,357.76
117,357.22
119,356.81
120,356.77
123,357.72
125,358.59
126,358.83
127,358.97
129,358.97
132,358.59
136,358.7
139,358.07
143,358.06
149,357.68
151,356.45
155,353.18
156,351.71
157,350.42
158,350.19
159,350.23
160,350.17
161,350.07
162,349.86
163,349.82
164,349.79
165,349.84
166,349.73
167,349.37
168,351.03
169,351.76
173,354.69
174,356.21
175,357.05
179,358.82
179,359.05
181,358.56
184,358.52
187,358.68
189,357.5
191,357.33
192,356.47
195,356.49
198,356.23
199,356.35
200,356.79
202,357.83
205,357.56
206,356.45
207,356.37
210,356.6
211.5,356.81
213,356.4
215,356.55
218,357.5
221,359.13
225,360.85
230,361.75
233,363.06
238,364.97
243,366.52
247,366.68
274,366.74
