station_left_bank_ft,elevation_ngvd29_ft
147,359.95
144.4,359.79
140.3,358.64
134.3,356.48
130.1,355.15
127,353.61
120.8,352.76
114.9,353.29
106.6,352.8
98.3,352.73
94.5,351.74
93.2,350.55
91,349.35
85.5,346.4
85.2,345.1
84.5,344.32
84,344.38
83,344.51
82,344.48
81,344.79
80,345.03
79.4,345.26
79,346.44
77.7,347.41
74.1,351.15
71.6,352.87
68.3,353.1
60.1,353.26
53.9,353.19
48.8,353.18
45.4,353.09
42.3,353.67
40,354.52
37.5,355.46
29.6,357.85
26.7,358.76
16,359.06
0.3,359.18
0.3,359.06
-9,359.25
-25,359.65
-33.5,360.54
