station_left_bank_ft,elevation_ngvd29_ft
191.6,355.97
190.2,356.01
188,355.43
183.5,353.98
181,353.17
172,350.34
167.5,350.26
162.8,350.45
157.9,350.62
149.5,350.37
142.9,350.69
139.8,350.27
136.7,350.28
134.5,349.77
132.7,349.68
129.3,348.52
126.4,347.34
123.7,346.9
121.8,345.97
121.1,344.98
120,344.16
119,343.75
117.9,343.52
117,343.35
116,343.28
115,343.24
114,343.19
113,343.2
112,343.4
111,343.44
110,343.55
109,343.92
107.7,344.78
106.9,345.7
105.6,346.18
103.7,347.01
101.5,347.51
98.9,348.08
95.4,349.1
91.4,350.23
87.2,350.1
84.7,350.49
81,350.51
74.7,350.1
70.9,350.06
64.8,350.13
59.7,350.13
54.2,350.82
49.3,350.83
47.8,351.26
47.4,351.35
41.6,351.06
37.6,351.26
31.2,351.23
24.3,352.93
21.2,353.41
11.1,355.67
5.5,356.56
0,356.41
