station_left_bank_ft,elevation_ngvd29_ft
0,356.36
5,356.51
12,355.3
16,354.46
21,353.35
26,352.32
31,351.24
37,351.15
42,351.2
45,351.61
47,351.68
51,351.05
54,350.74
55,350.44
58,350.13
62,350.1
66,350.5
68,350.54
73,350.88
75,350.52
77,350.44
80,350.56
81,350.92
83,350.76
84,350.85
85,351.25
87,351.57
89,351.17
91,350.84
93,349.95
98,348.17
101,347.36
105,346.19
106,345.7
106.5,345.3
107,343.85
108,343.5
110,343
116,342.6
119,343.1
122,345.7
123,346.73
125.5,347.47
126.5,348.03
128,348.36
130,348.93
132,349.69
135.5,350.41
136,350.66
138,350.99
141,351.55
142,351.58
143,352.23
145,352.03
145.5,351.29
147,351.52
149,350.98
153,350.78
158,350.4
163,350.52
168,350.31
173,350.3
174,350.96
178,352.2
186,354.79
190,355.86
193,355.97
