station_left_bank_ft,elevation_ngvd29_ft
214,355.9
199,356.21
196,356.61
194,356.45
192,355.94
190,355.48
188,354.51
186,353.68
184,352.9
182,352.28
180,351.33
178,350.74
176,349.84
174,349.18
172,348.4
170,347.72
168,347.23
166,346.99
164,346.59
162,346.25
160,346.15
158,346.03
156,346.07
154,345.88
152,346.14
150,345.98
148,346
146,346.15
144,346.16
142,346.27
140,346
138,345.49
136,344.99
134,344.44
132,343.95
130,343.82
128,343.71
126,343.71
124,343.74
122.7,343.66
122,341.95
121,341.79
120,341.75
119,341.61
118,341.71
117,341.71
116,341.7
115,341.66
114,341.69
113,341.97
112.4,342.03
111,343.37
109,343.63
107,343.73
105,344.33
103,345.06
101,345.95
99,346.44
97,346.78
95,346.97
93,347.12
91,347.22
89,347.4
87,347.78
85,347.68
83,347.41
80,346.8
77,346.61
74,346.36
71,346.12
68,345.99
65,345.96
62,345.87
59,345.99
56,346.05
53,346.18
50,346.76
47,346.41
44,346.4
41,346.6
38,346.78
35,347.6
32,348.72
29,349.47
26,350.51
23,351.35
20,352.31
17,353.37
14,353.87
12.8,353.96
-1.7,353.81
