station_left_bank_ft,elevation_ngvd29_ft
-2.3,353.96
12.2,353.81
16,353.27
18,352.6
21,351.65
26,350.23
29,349.53
30,349.08
32,348.8
32.5,348.17
35,347.65
36.5,346.94
40,346.67
42,346.95
43.1,346.77
44.2,347.21
46,347.06
47.6,347.31
49.1,346.85
50.1,346.34
52.1,346.11
53.2,345.75
54.1,345.9
56.6,345.87
57.6,346.03
58.1,345.85
59,346.19
60.5,346.31
65,347.02
66.8,346.91
68,347.45
69.6,347.07
72,347.15
74,347.77
75.3,347.69
76.4,348.09
80.4,348.09
81.4,348.45
84.4,348.87
87,348.7
91,347.2
96.2,346.89
99.5,346.93
100.2,346.75
100.7,346.19
103,345.11
105.4,344.27
107.8,343.43
108.5,343.64
108.8,343.41
110,343.34
110.6,343.23
111.2,342.49
112,341.83
113,341.23
114,340.73
118,340.82
119,340.92
120,341.02
121.7,341.76
122.1,342.47
122.4,343.32
123.5,343.71
124.3,343.65
125.9,343.65
127.3,343.6
128.4,343.87
130,343.78
132,343.82
134,344.35
136,345.05
138,345.53
140,346.13
145.2,346.69
148,346.38
150.5,346
153,346.46
155,346.12
155.5,346.24
156.5,346.7
158.5,346.18
160.3,346.56
162,346.45
166,347.08
169,347.7
171,348.23
173,348.83
176,349.98
177,350.51
179,351.12
183,352.52
188,354.46
193,356.08
195.5,356.53
214,355.9
