station_left_bank_ft,elevation_ngvd29_ft
16.4,352.44
23.6,349.74
31.5,347.48
33.5,347.02
36.5,346.18
38,345.96
42.5,345.1
45,344.3
46.5,344.33
49.2,344.8
51.2,344.33
54,344.7
55.5,345.23
57.7,345.16
59.8,344.68
62.3,344.84
64,344.4
65.5,344.5
68.5,343.85
70.3,343.82
71.5,343.95
73.5,343.79
74.8,344.26
76.9,344.51
80.1,344.7
82.7,344.68
84.7,344.53
86,343.58
87.5,342.83
88.5,342
89.5,342.31
89.7,341.86
91,341.61
91.1,341.5
91.7,341.4
92,341.29
93.4,341.01
93.5,340.77
94.7,340.33
96,340.17
98.5,339.77
99.5,339.47
100.5,339.17
101,338.93
101.5,339.19
103.5,339.78
104.5,340.11
106.5,340.11
108,340.42
109,340.24
110,340.43
111,340.61
111.5,340.69
112,340.78
113,340.59
114.5,340.71
116.5,340.91
118,340.91
119.5,339.83
121.5,340.59
122.2,340.55
123,340.31
124,340.35
125.5,340.32
126.5,340.61
127.5,340.99
128.5,341.39
130.5,341.68
131.5,341.92
132.5,342.15
134.5,342.68
135.3,342.96
136,343.17
137.6,343.16
137.8,343.01
140.4,343.23
140.6,343.17
141.5,343.23
142.3,343.4
144.3,343.53
144.5,343.33
146.5,343.46
148.8,343.5
149.2,343.59
149.7,343.66
151.6,343.71
151.9,343.84
154,343.88
154.5,343.56
156.1,343.62
157.1,343.62
159.5,343.81
160.5,343.67
163.4,343.9
165.7,344.02
169.2,344.76
170.5,344.43
171.5,344.7
172,344.91
174.5,345.04
176.5,345.52
177.7,345.9
178.5,346.34
179.5,346.63
181.5,347.06
183.1,347.72
185.5,348.4
188.5,349.19
190.5,349.75
202.5,353.43
207.8,353.54
222.8,353.1
